"Specialized Traces WorkflowID"	"Specialized Traces ID"	"Checked"	"File ID"	"TraceDetector Type"	"Description"	"Scan Filter"	"Spectrum File"
"-116"	"32"	"False"	"F16"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Healthy_CH2_F2.raw"
"-116"	"33"	"False"	"F17"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Healthy_CH2_G2.raw"
"-116"	"34"	"False"	"F17"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Healthy_CH2_G2.raw"
"-116"	"35"	"False"	"F18"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Healthy_CH2_H2.raw"
"-116"	"36"	"False"	"F18"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Healthy_CH2_H2.raw"
"-116"	"37"	"False"	"F19"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Healthy_CH2_J2.raw"
"-116"	"38"	"False"	"F19"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Healthy_CH2_J2.raw"
"-116"	"39"	"False"	"F20"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Healthy_CH2_K2_bad.raw"
"-116"	"40"	"False"	"F20"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Healthy_CH2_K2_bad.raw"
"-116"	"41"	"False"	"F21"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Healthy_CH2_K3.raw"
"-116"	"42"	"False"	"F21"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Healthy_CH2_K3.raw"
"-116"	"43"	"False"	"F22"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_B5.raw"
"-116"	"44"	"False"	"F22"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_B5.raw"
"-116"	"45"	"False"	"F23"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_B6.raw"
"-116"	"46"	"False"	"F23"	"BPC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_B6.raw"
"-116"	"47"	"False"	"F24"	"TIC"	"MS Order: MS1"	"FTMS + p NSI Full ms [375.0000-1575.0000]"	"HFL1SC_2_Unhealthy_CH1_C5.raw"
