"Proteins Unique Sequence ID"	"Protein Groups Protein Group ID"
"-3973589334991488607"	"1124"
"-3241887692250600056"	"1265"
"-1474010075378452952"	"1629"
"7989790464056543145"	"3581"
"-6605193621902288169"	"571"
"-4155367153969888648"	"1089"
"-880435081762619547"	"1748"
"-5798091253452066801"	"730"
"-6086246065885053041"	"668"
"8006254010702621328"	"3583"
"-3688625229951110619"	"1177"
"-1053149387799816631"	"1704"
"-3690320084066520669"	"1176"
"8736083768290238180"	"3753"
"5631363744109016659"	"3087"
"-4567547795878987385"	"1014"
"2962281166201317424"	"2510"
"3650651295291502810"	"2644"
"-2305783293341844831"	"1461"
"3237045866174408172"	"2565"
"5950667386624240413"	"3158"
"7133544339396982631"	"3394"
"682895518506643546"	"2065"
"3453697574232543386"	"2608"
"-66753491464337277"	"1912"
"-2039087024744643374"	"1521"
"3230263422708412736"	"2562"
"491541445040481155"	"2020"
"-1697710683789054711"	"1597"
"-1518063030880020019"	"1627"
"-7115142250704838097"	"455"
"4769002131436570839"	"2883"
"8705476780399299386"	"3739"
"6488855965708197639"	"3265"
"-4615289327887409645"	"1004"
"-9167075430480271222"	"15"
"-6590876033132119878"	"573"
"5927523368410573672"	"3154"
"-5144804986028249451"	"881"
"-1860543310075142412"	"1563"
"-8293079878251606526"	"203"
"-8618995873066518476"	"133"
"-8113893803591480288"	"250"
"-8085176480319598229"	"255"
"-772083225745130744"	"1770"
"8498450919961846637"	"3700"
"7198883007019988074"	"3412"
"361994698644895597"	"1997"
"-2968462803591276191"	"1326"
"7521439039700903682"	"3493"
"5561612098835552022"	"3071"
"986757703802447385"	"2133"
"5362975432766664229"	"3028"
"8176798073003434309"	"3616"
"621103420466231067"	"2048"
"5619484675981056092"	"3083"
"-7017874985935534894"	"480"
"-7065009906831580898"	"469"
"-7576515921520274560"	"360"
"5815926444524445653"	"3132"
"-3028691531671689044"	"1309"
"-8226351996113547688"	"216"
"-4288023909312929848"	"1067"
"-2220837361715177214"	"1483"
"733334629432108356"	"2081"
"-2158743068394578481"	"1495"
"3945672141617060885"	"2702"
"-7057642348640183550"	"471"
"5579729439990208910"	"3076"
"844941694654797990"	"2105"
"-7661195779620978483"	"344"
"-174490317750568225"	"1878"
"-8150015609920896545"	"238"
"8369123714013872102"	"3665"
"2402053168044673171"	"2400"
"2151926267082362024"	"2363"
"2399497510241032173"	"2399"
"-9169618704545618170"	"13"
"562319574892213792"	"2036"
"-6948099861594568888"	"499"
"-9059852176619998838"	"41"
"2749950876556130584"	"2465"
"-5062792901890915106"	"896"
"3819136565778515185"	"2673"
"-5793722554403523201"	"735"
"-1213395878895108528"	"1674"
"2564632356119292656"	"2428"
"8364348392468163032"	"3664"
"7054273267636823051"	"3377"
"-6896953880380314494"	"514"
"-2847148615950550488"	"1351"
"-1119286615561917853"	"1693"
"8961190954250988131"	"3795"
"1547781430018805415"	"2237"
"-5646758734319931850"	"763"
"5778599060552415361"	"3124"
"-8470537921174600195"	"167"
"-2586862151232699530"	"1404"
"1074215629290594570"	"2147"
"8569081594674828250"	"3716"
"-8210818149912646419"	"223"
"-876330401098073420"	"1750"
"-3578102101740609767"	"1195"
"5990763445808986334"	"3167"
"6838394532557106320"	"3334"
"-3705631994362769923"	"1172"
"2868702294912813046"	"2490"
"-2887047081584333281"	"1343"
"2426861074950700078"	"2406"
"4388597074234396696"	"2817"
"6480137070562712140"	"3263"
"8732346175470674622"	"3750"
"-2303647177069578644"	"1463"
"-3534429540462627294"	"1207"
"3849836082424785333"	"2678"
"2327872055766203797"	"2389"
"4874670657009698466"	"2906"
"-806880739347862445"	"1761"
"-1891313115093296053"	"1549"
"454806171855366482"	"2011"
"-2050551167936510610"	"1518"
"6713486079386730204"	"3311"
"5513100547130879649"	"3062"
"-469021931412063719"	"1830"
"-613397371873318473"	"1801"
"-1039523901046503215"	"1710"
"-1034815253104013464"	"1714"
"2502404100025205194"	"2419"
"-700049213662343528"	"1784"
"770343860011856219"	"2094"
"6674387397432112473"	"3306"
"660217191297362812"	"2059"
"-5702843186452249815"	"752"
"-6252367434931231115"	"632"
"-4952006714438079555"	"922"
"-4858909322532710110"	"947"
"8241428669781636950"	"3634"
"-8649453304125061400"	"124"
"-2613638019378130261"	"1393"
"-1037081558044957936"	"1712"
"1156142612126302656"	"2162"
"7742249596596208262"	"3540"
"3453678624484122586"	"2607"
"3518541281494469648"	"2618"
"-8215909947984891721"	"220"
"3269651725271298861"	"2574"
"7061207721996529093"	"3380"
"-160533791377362281"	"1882"
"-8484028389043526679"	"163"
"-1088137077242897803"	"1697"
"3002712347046388220"	"2515"
"2726683976815450871"	"2461"
"-2084755087725056383"	"1513"
"6210925912035566058"	"3221"
"4690988044632206279"	"2871"
"6560846777174153588"	"3283"
"-410325427073227732"	"1837"
"5004824679755995217"	"2938"
"4532618803689773049"	"2848"
"-7233412111740596343"	"430"
"8372900262212064526"	"3666"
"3602445909866352508"	"2634"
"-795610127174802190"	"1765"
