"Proteins Unique Sequence ID"	"Protein Groups Protein Group ID"
"5660191974967283652"	"3100"
"1999315358904826558"	"2330"
"5498683654784928386"	"3059"
"-4398565807106902058"	"1048"
"5530158233237029042"	"3066"
"2409289599634595883"	"2401"
"8957423501143175457"	"3793"
"1618262664170988145"	"2251"
"1449875230825116072"	"2218"
"2214005141303334461"	"2374"
"-5104969040472016970"	"886"
"5114472407412585213"	"2963"
"6965600281876429507"	"3362"
"7337665348008384774"	"3455"
"1302469806401564563"	"2183"
"-728373557133263535"	"1779"
"-1188171081040075064"	"1680"
"3930283768056647308"	"2699"
"945585302651271031"	"2121"
"3988620745573507049"	"2719"
"2516150800733119915"	"2422"
"1500672588244887756"	"2228"
"6753985911223903494"	"3322"
"121458031031999340"	"1948"
"-1511702505276588775"	"1628"
"-7575182119282234217"	"361"
"-567198980294406321"	"1811"
"2799366669898558471"	"2474"
"4481377694352566724"	"2838"
"-4630001761870027344"	"1000"
"-1437686464987713845"	"1640"
"3249429330709182822"	"2570"
"-4874948600473358970"	"941"
"528371413836643526"	"2029"
"6707926075363841764"	"3310"
"-3724772415600982655"	"1170"
"-4912222715256496910"	"931"
"-8533826193911874289"	"153"
"1968544072233028588"	"2319"
"5241599952766811941"	"3000"
"-7048585715635486560"	"473"
"5868182849043771837"	"3143"
"-6496925005546959600"	"592"
"-3779865839115366179"	"1162"
"5246229202853777297"	"3001"
"-5508094831234368243"	"799"
"-154777414140805672"	"1883"
"6256395688163039861"	"3230"
"-2089871811675690558"	"1509"
"-1754973735572591601"	"1589"
"-8847989737221969983"	"76"
"2716621373139491588"	"2459"
"-6424990256346318104"	"608"
"3927890985374291245"	"2698"
"563058972091496350"	"2039"
"-8337602067628073965"	"189"
"7449371538365957033"	"3480"
"2015185769260426388"	"2337"
"-2262993958771163174"	"1471"
"-165801227635855458"	"1880"
"-2500202292612525864"	"1417"
"4636491781207187808"	"2863"
"4369524592651400068"	"2814"
"-5381217781487520932"	"829"
"2613471079569612470"	"2438"
"3490068427957957642"	"2611"
"-140243199902963868"	"1893"
"-9125415552757105331"	"25"
"-4229859227879041997"	"1081"
"-1612190288293860915"	"1614"
"-7722253779426460975"	"333"
"2652497111054879184"	"2449"
"-3936589147855356359"	"1133"
"6102726942936219024"	"3194"
"2064522308959827201"	"2344"
"4058456233631452436"	"2739"
"-3792767569238335082"	"1160"
"7174373993236338878"	"3403"
"-515522588376759980"	"1819"
"6718063858029524947"	"3313"
"4559835886279860213"	"2852"
"-1633285367868477603"	"1608"
"-1146438711958021826"	"1686"
"7001879318500673012"	"3366"
"1603503262744250251"	"2247"
"1473642583666427105"	"2221"
"6400995593712089390"	"3249"
"-1866201622056559647"	"1560"
"4962531905740651297"	"2925"
"-8012908085941337264"	"270"
"3910954529377130988"	"2694"
"-5021111573985097636"	"904"
"-6625337675714682058"	"563"
"-3174676453931505858"	"1277"
"7590147556392166876"	"3514"
"3353104297975983136"	"2593"
"-4130668541852858118"	"1096"
"2142775620520920710"	"2361"
"654081652263858131"	"2057"
"-7535603894989297073"	"372"
"906200433272310872"	"2116"
"6180366262275080504"	"3215"
"-6548479852001098502"	"584"
"-6017876226430429666"	"681"
"7437759637941576864"	"3474"
"-7903572994601535827"	"293"
"3269209104434095274"	"2573"
"1339242402032558616"	"2193"
"-4797790429512717329"	"965"
"-1437948072660631583"	"1639"
"6101173507286650100"	"3192"
"-6996937188134376608"	"484"
"-3195090244308716906"	"1272"
"-8151909637929937359"	"237"
"4143955501491186019"	"2754"
"-5506725299494211183"	"800"
"4739120809081579105"	"2878"
"5335677543697524354"	"3021"
"-3815266739088284400"	"1157"
"6028775668578437803"	"3172"
"3183160305679350534"	"2548"
"2575238413296389827"	"2430"
"7890676929847473607"	"3564"
"1535897714363242613"	"2236"
"7019173360477082359"	"3371"
"-5982542769367786087"	"693"
"-5359713146649655482"	"838"
"6148920523022948324"	"3205"
"-3249613255715037073"	"1262"
"4773020118127395212"	"2885"
"3885122189717857711"	"2691"
"-7382790352375516909"	"406"
"-5631999146533429965"	"765"
"-1037069693652576559"	"1713"
"769140260772308897"	"2093"
"-8133937274084103067"	"245"
"3851021478040607723"	"2680"
"-7081455264055243390"	"464"
"8288854614025876019"	"3645"
"7523639143928764944"	"3494"
"1079970231348411626"	"2149"
"-4415570283207223737"	"1042"
"4471349255838518587"	"2835"
"8610404900026586522"	"3724"
"-3390977729729594241"	"1231"
"-8826261878749587371"	"80"
"4087674429968217888"	"2744"
"-9142633453092605073"	"19"
"-5340528139668487905"	"840"
"-6685402705848511390"	"554"
"7463755477932393031"	"3483"
"-6979633451004201219"	"491"
"240711896831941506"	"1971"
"-7996952704107557877"	"275"
"5347375933895697541"	"3022"
"-6261217039934206149"	"629"
"-6149624510723031081"	"654"
"623640857413414358"	"2051"
"-7224600777690592247"	"431"
"-8440494360809906924"	"172"
"8321429417116917544"	"3650"
"3303304153352380892"	"2582"
"-3970443704612931563"	"1125"
"-93919318191628628"	"1905"
"5926930809007955556"	"3153"
"6733467377289635687"	"3316"
"2183625062591563072"	"2369"
"4192951457052188404"	"2766"
"-5866289401045489846"	"714"
"8782400516531816944"	"3762"
"-2657182436335150623"	"1385"
"-8775714319667424698"	"96"
"4405938644803011901"	"2820"
"-2296142956661509190"	"1467"
"6737848688669361571"	"3318"
"-6878293998477410521"	"517"
"-4642176776796334220"	"994"
"8724796524999156639"	"3746"
"4007751392279359432"	"2724"
"-8716615983158352243"	"115"
"6942352143814958774"	"3355"
"7460100142715479081"	"3481"
"8048199414682788645"	"3592"
"5288684708523747991"	"3009"
"7944368975479606522"	"3574"
"-9088967002815659299"	"35"
"7875631216298932399"	"3561"
"-3283541064302857350"	"1255"
"7129667850847229200"	"3393"
"1853475733980272119"	"2293"
"6641856841102683489"	"3299"
"-3959572878681588940"	"1126"
"8648350258145669710"	"3731"
"1330138417621247199"	"2190"
"-8882498354911653551"	"71"
"7589685267009723312"	"3512"
"-631898127598295628"	"1796"
"-911764670660096816"	"1742"
"2082394650260842040"	"2347"
"-8809117759024256443"	"84"
"-6736379060781022662"	"540"
"4864544726584391744"	"2905"
"4915736494579554665"	"2916"
"-3779128896834414517"	"1163"
"3196973949191465790"	"2552"
"1978266596079071295"	"2322"
"479686062085054609"	"2015"
"2015286030572761336"	"2338"
"3968134916858178565"	"2710"
"5165886701298417594"	"2975"
"-3364177795992672609"	"1236"
"-3817415269467879151"	"1156"
"-8201100139023696608"	"226"
"7688952667704275831"	"3528"
"3877327812570757942"	"2688"
"313388091027813051"	"1989"
"5195647642425591754"	"2982"
"-8008274239603490952"	"272"
"964900113043376779"	"2125"
"1734790582977372175"	"2279"
"-2770447616449315305"	"1368"
"-4845069297566421061"	"952"
"-719373628240286726"	"1781"
"-2411801021050745689"	"1435"
"7405227159340641842"	"3468"
"-350799256897101530"	"1852"
"-1866024987760357114"	"1561"
"7738217365816998519"	"3539"
"7327599600572382898"	"3452"
"2832146552711634492"	"2482"
"3559425132157333598"	"2629"
"-5711081481514943927"	"748"
"-5432753500567823498"	"821"
"4271823877594573979"	"2787"
"2666399162137355267"	"2452"
"-5808192534094495875"	"728"
"-2651873567954206530"	"1387"
"-5434950316255047491"	"819"
"3259999118554299265"	"2572"
"-9171365705039643338"	"12"
"3951923410761951319"	"2705"
"7379954125319751521"	"3464"
"-6258947584785222358"	"631"
"5056631154823244000"	"2950"
"4137218576109141814"	"2753"
"-7970699774180839953"	"281"
"8117017983706301691"	"3604"
"8165115417245555276"	"3613"
"8506961570143965113"	"3702"
"6548869844035824343"	"3280"
"-7705238959085991770"	"335"
"4943408873611006946"	"2922"
"-4773459124454051332"	"967"
"-8781846477469752128"	"92"
"-2227436002470218796"	"1479"
"7061431748796974756"	"3381"
"-951770295276680131"	"1735"
"1520164082407222722"	"2232"
"-6625268949045148761"	"564"
"-8500687369034294287"	"157"
"7978508680545557598"	"3580"
"8428260618384848940"	"3681"
"2236542177406705002"	"2378"
"1141032543915842811"	"2160"
"-4269953144102430840"	"1072"
"-7515792609303095651"	"375"
"7179197342339518209"	"3408"
"-8140132185287210638"	"241"
"-4642544614061212331"	"993"
"3953931010856732739"	"2707"
"-5829960447854698720"	"723"
"-5272993671693515484"	"854"
"9117054083020663971"	"3829"
"-7946497630754715310"	"288"
"-877235499680530927"	"1749"
"2683396977362819782"	"2455"
"-16918109513615625"	"1923"
"9034564449228548140"	"3813"
"-5198752139468277763"	"872"
"7630142415015692295"	"3519"
"-1882334441137329574"	"1553"
"-453379581051164535"	"1831"
"8517933744831007530"	"3704"
"5468069501493151827"	"3054"
"-8527092773428768711"	"155"
"562361449972294003"	"2037"
"-2320605404870657198"	"1454"
"-348929784632102448"	"1853"
"4258123771778816743"	"2782"
"-1936662048644361405"	"1543"
"-2836831182499166141"	"1355"
"-8297311667808919408"	"201"
"1964393919908826502"	"2317"
"2000149413272750326"	"2331"
"4578961420069997890"	"2855"
"-7785579833791404998"	"323"
"-4004494409327660908"	"1115"
"-4632135778776149030"	"998"
"4495210949063335174"	"2843"
"-8779736381332908837"	"94"
"2940838184617924557"	"2502"
"-3980314117452886183"	"1123"
"8234678623153025706"	"3632"
"687508345564059484"	"2068"
"-9060083116592878359"	"40"
"-4595887854081889880"	"1007"
"8472695818303021401"	"3691"
"-4570733689934674061"	"1012"
"-2714329419910624829"	"1381"
"114843226561293462"	"1945"
"3042753504910158627"	"2523"
"-7820090330366172225"	"313"
"-5409915442004747481"	"825"
"-5301300435928167882"	"849"
"-7543503445909431130"	"370"
"-2398790545086006217"	"1439"
"-7747450166338589829"	"327"
"-8823797541663709798"	"81"
"-6708028902102911891"	"549"
"-2326963864063357056"	"1453"
"6973365880698085835"	"3363"
"-5486623488286150829"	"803"
"-5588804604694799714"	"783"
"-1017068245716453317"	"1719"
"3142300216691499503"	"2538"
"6043463436452304537"	"3176"
"-5876331061237715446"	"710"
"5527327330749920032"	"3065"
"8479889696518381262"	"3695"
"-2761647676892231583"	"1373"
"-8282495750123490209"	"207"
"4848605729142375391"	"2902"
"197200824509217859"	"1964"
"6124389197736880790"	"3201"
"-2064458318068970757"	"1514"
"8891268094734712955"	"3782"
"2824475933773921432"	"2480"
"2100878916131084887"	"2356"
"8235165147539186554"	"3633"
"6379053334718369051"	"3247"
"1263329049194197766"	"2179"
"1400072782813286453"	"2212"
"-1538896593466497334"	"1624"
"4377208032786879179"	"2815"
"4184238853361906286"	"2763"
"-537602968940689111"	"1815"
"565785606400917725"	"2042"
"3232925650926593770"	"2564"
"295875548179926658"	"1987"
"-7159470026715205084"	"447"
"6184402302268645522"	"3217"
"-8550051614055405521"	"150"
"-7238306351176714360"	"428"
"-792306396308701389"	"1766"
"8546786530734250007"	"3709"
"-8022290740510184659"	"267"
"-8745389805375581361"	"107"
"-8431694603937659134"	"176"
"7273803465605434037"	"3440"
"-693009755778798309"	"1787"
"-2890284807861643792"	"1342"
"-4180128613477107965"	"1085"
"868363632382073498"	"2108"
"-4905591351439676835"	"933"
"2256235105362563928"	"2381"
"5275540959932174837"	"3006"
"-4288345364225070151"	"1066"
"-6490484038664760531"	"594"
"5079617610391410578"	"2953"
"7263541365096533312"	"3438"
"-5945011317712517661"	"700"
"6222929657638767461"	"3223"
"-478504765432675351"	"1826"
"-6826541305752528518"	"522"
"6509099056822078364"	"3271"
"-7405730642826192701"	"399"
"-4400715945048607564"	"1046"
"-4709536422529614216"	"977"
"-4501130865097894528"	"1030"
"-8754734411753965302"	"103"
"-5885544299660582153"	"708"
"-2779381262289932464"	"1366"
"-901453278608650504"	"1744"
"4722809731006219467"	"2875"
"4154359228263867930"	"2758"
"-5200719085873833637"	"870"
"3912553749902594293"	"2695"
"6490883376989513156"	"3267"
"-7200124319077870265"	"434"
"-3951454542439150493"	"1128"
"2337219862284108106"	"2392"
"-7200056701513102621"	"435"
"-8841542805290732868"	"78"
"-8647128743561798150"	"125"
"-1047543099056468626"	"1707"
"-355832090730620748"	"1851"
"-7399847245700249390"	"402"
"3531951912742516330"	"2622"
"2809797377402095157"	"2476"
"-7800125751791293758"	"320"
"7726317818688943966"	"3537"
"8375301801822560127"	"3667"
"-7401329575601911727"	"401"
"-10968856719763814"	"1925"
"-4533705047032389806"	"1023"
"2495561624923528868"	"2418"
"-1115906497722496104"	"1694"
"6807117171937690539"	"3327"
"-4082560414167460890"	"1101"
"-5376062369618088086"	"833"
"8545908257350266971"	"3708"
"1367538517643276436"	"2202"
"-6175620915795625691"	"649"
"-8752385299912299834"	"104"
"-2088102652964782572"	"1512"
"5211801014996619812"	"2988"
"6546682892855641805"	"3279"
"-885056090803738498"	"1747"
"6836075231128367811"	"3333"
"3114131480513419355"	"2536"
"-5402029241356858044"	"826"
"5136159273712408888"	"2969"
"8115328096255325213"	"3602"
"-4520162396586865811"	"1024"
"-6351504497919027532"	"615"
"8070749143709819728"	"3596"
"2192359693732382121"	"2370"
"7530688595643988973"	"3499"
"1095568573092082412"	"2151"
"-5095696648215945885"	"890"
"7834140751544997544"	"3555"
"516954531369469772"	"2026"
"-5988193438521902409"	"689"
"7100532501288988865"	"3390"
"-6811152372553307115"	"525"
"3944775931209301438"	"2701"
"-1707160511177359042"	"1593"
"6604733771635373365"	"3291"
"2381350149897154971"	"2394"
"1534536598926653536"	"2234"
"-1824367186681839268"	"1570"
"-3154605407471035143"	"1281"
"8835450799000805125"	"3772"
"560931000169040577"	"2035"
"338610440228744590"	"1993"
"-652499996560304904"	"1793"
"-915816600694735360"	"1741"
"2951553745667677229"	"2505"
"8046944082778510554"	"3591"
"-2106198041571123129"	"1506"
"6373190460563601224"	"3246"
"-7626065268017053793"	"352"
"-8435902811032544743"	"175"
"2746028524908130600"	"2464"
"868843744032576337"	"2109"
"-8586045646890195007"	"140"
"-7619751379045493323"	"353"
"-8021151771097253275"	"269"
"7002487047349753336"	"3367"
"4804495115062908755"	"2892"
"-2982172693089125932"	"1321"
"3366486650245995426"	"2595"
"-2946380844768102927"	"1331"
"-692133851352470930"	"1788"
"-3876256361286906855"	"1145"
"500586164942944818"	"2021"
"8724268624419382152"	"3745"
"2921825731244054349"	"2499"
"988734972597675031"	"2134"
"7512060777885112035"	"3492"
"722049298036069008"	"2079"
"7931435872977733703"	"3572"
"1011976368699827672"	"2137"
"6669951735420197648"	"3302"
"8832352295829315313"	"3769"
"-6920554993800994285"	"509"
"-5794386193398091018"	"734"
"9124965961007810906"	"3830"
"6313231503744566384"	"3239"
"-2245217909650069335"	"1476"
"2458252490920426752"	"2414"
"9193943049168300683"	"3847"
"-504997331308259812"	"1823"
"-5434559911423025462"	"820"
"9139942290346830630"	"3832"
"-6816817128509432528"	"524"
"-1141422113329583141"	"1688"
"882715983706929749"	"2112"
"4157182932771800811"	"2759"
"4936048942270731480"	"2919"
"5314014285931232470"	"3016"
"3079074271338885879"	"2527"
"7299810347757178187"	"3443"
"8106811875095759613"	"3599"
"-8415712224574136193"	"180"
"-6011940264998513028"	"682"
"4430928365987498552"	"2824"
"7059158695698353069"	"3378"
"-5903683586191117105"	"706"
"1245532746290238029"	"2175"
"2943690132932996841"	"2503"
"4990708263864510059"	"2932"
"3418505594273786343"	"2601"
"-8439683798465219975"	"173"
"-2641060010654775307"	"1388"
"7555095530053008939"	"3505"
"4594033010686828793"	"2856"
"2859585786570282431"	"2486"
"-2297110738803864325"	"1466"
"1626787301321382750"	"2255"
"-2333101891394808779"	"1450"
"-8438939394960091078"	"174"
"7926012984553532655"	"3570"
"2861301330543475205"	"2487"
"-8623681790240616885"	"130"
"-8966117974293097362"	"59"
"-6612546022737726869"	"569"
"-4669719094448447392"	"988"
"6929162783006905550"	"3349"
"1443049690155721947"	"2217"
"-7303961078788059209"	"422"
"-3818998789770137613"	"1155"
"-2033172296880987561"	"1523"
"65212291035660033"	"1939"
"3813032805198607075"	"2672"
"8320203953169685442"	"3649"
"-2440246384858706069"	"1427"
"3271098639454742173"	"2575"
"6019619507196981202"	"3169"
"5786695541572453442"	"3125"
"-618382936751455385"	"1800"
"2730798192549930886"	"2462"
"-1343514979661683430"	"1658"
"4272754808403189707"	"2788"
"-1018884242771776576"	"1718"
"-1051331415144919391"	"1706"
"7001709167677346758"	"3365"
"2201882454177381815"	"2371"
"-3614500297026839647"	"1191"
"9072204051848657082"	"3822"
"1964707792463719030"	"2318"
"-8623682461858759698"	"129"
"5777043105444546084"	"3123"
"-8291794919948140528"	"204"
"6752970450865449167"	"3320"
"7835862942369075388"	"3556"
"4021797860689050077"	"2729"
"-1447315098350615829"	"1635"
"1595519607435168922"	"2246"
"5135985212415519925"	"2968"
"-6142144855289123481"	"656"
"-5372925708799750934"	"835"
"2758380383998066899"	"2467"
"2037005348220660879"	"2343"
"-199396300438152648"	"1876"
"5319872679741064952"	"3018"
"-4002494153914850513"	"1116"
"7524617474399668793"	"3497"
"2637590011477773491"	"2445"
"-9223199126957561706"	"1"
"8491041038434831917"	"3698"
"4010508153477037857"	"2725"
"-5864065326781896084"	"715"
"-1288409526495394061"	"1664"
"-108024960006830899"	"1900"
"6514754949609892250"	"3272"
"-5100210059596347713"	"888"
"8340372604993352457"	"3656"
"8178776459123092866"	"3617"
"-5413833869660862960"	"824"
"3146849743976844279"	"2540"
"5966605329502245695"	"3163"
"-3039044237151127382"	"1306"
"1246779234316334068"	"2177"
"2739049111137792080"	"2463"
"-1205545228874989707"	"1677"
"-1880293335037512275"	"1555"
"5775237487534858758"	"3121"
"-4544639522712315596"	"1019"
"1047119725647514999"	"2140"
"-3607998631011874723"	"1192"
"4819630258189506626"	"2896"
"-1318153562653389017"	"1660"
"-5005343800474254733"	"906"
"-1610110799858015964"	"1615"
"-990721738298047914"	"1728"
"1873273852874603797"	"2301"
"8429981221702182893"	"3682"
"5625477449042213507"	"3085"
"-2222820814571899525"	"1481"
"-1870726190365747871"	"1557"
"-1881813489114504748"	"1554"
"-4924646815996960073"	"929"
"3200158126373336546"	"2554"
"-3685684818087556165"	"1178"
"2331175161516182807"	"2391"
"-1450740357169926082"	"1634"
"4892989875718200247"	"2912"
"-2947777995853760023"	"1330"
"-9208084483559464236"	"5"
"1198198230857353565"	"2167"
"-8122184501551353547"	"246"
"1723896581553543701"	"2276"
"-7652533075202528091"	"348"
"3673508278002205446"	"2649"
"-6134268530089920080"	"657"
"4678268061119529029"	"2867"
"1516801179277526941"	"2231"
"-5375173174660804131"	"834"
"7003059613136436384"	"3368"
"-6161869324186469590"	"651"
"3035595102958398127"	"2521"
"-2007388225348892647"	"1531"
"-699160270543076643"	"1786"
"-3321226471008760"	"1927"
"1626858372461371776"	"2256"
"-3563159699507819169"	"1199"
"8403799351275241542"	"3674"
"-6993927886623036395"	"485"
"5217508454541550081"	"2991"
"1120264867382022563"	"2156"
"-6575601821171362980"	"578"
"2527179580342077355"	"2423"
"-4814952899286626419"	"962"
"3504989653461023373"	"2615"
"-9120785921578449656"	"26"
"5815145421053809259"	"3131"
"-1887782222287180929"	"1551"
"-6585678134614880292"	"576"
"-536665306058471520"	"1816"
"9167307694424558965"	"3837"
"-6444296704773161539"	"602"
"-31044771765994045"	"1921"
"3946682035619075212"	"2703"
"-6676806727165823643"	"556"
"-1679721907195940966"	"1602"
"-2063418146080875135"	"1516"
"-6469775095371741101"	"597"
"-8243306471950666249"	"212"
"5545156882891984968"	"3069"
"1687384969150092260"	"2264"
"2645630736488314632"	"2447"
"3245672403803654152"	"2568"
"-8814237146634600983"	"83"
"-3557205944014884156"	"1202"
"-8797482134951867652"	"86"
"-3086265819139452668"	"1294"
"5184627923008412941"	"2978"
"-1941852327752543049"	"1539"
"-3509050462547548554"	"1211"
"-1787588940823929001"	"1581"
"-1447147241946060131"	"1636"
"6915222884888566270"	"3346"
"9091705123101461009"	"3825"
"-4539117867176903484"	"1020"
"3160477989594931452"	"2543"
"-4738177424081249956"	"971"
"1669697587989024487"	"2261"
"-6898362588139573585"	"513"
"1941330484708974901"	"2310"
"-5554010069989842743"	"791"
"254841864021307776"	"1974"
"-7614140924344961164"	"354"
"-985839782283071822"	"1729"
"4118942694403519746"	"2750"
"4573654140983497752"	"2854"
"-1367534402013747077"	"1652"
"3602347345364685954"	"2633"
"-8993945663539599820"	"53"
"-5207555211981118816"	"868"
"-7073830227573610312"	"466"
"-8574193745658390357"	"145"
"5964536598066088109"	"3161"
"657128700828351651"	"2058"
"1477701677307109055"	"2223"
"8166763961734876416"	"3615"
"4173136633731686100"	"2762"
"7253720687934924150"	"3435"
"896567990825277729"	"2113"
"-5616510837335031809"	"772"
"2226987394503501031"	"2376"
"-3363379489977265255"	"1237"
"289825156273590713"	"1984"
"-3895528791649615838"	"1143"
"-2531564844693564972"	"1412"
"-681400762000750361"	"1789"
"8529586358305545684"	"3706"
"-7237194878275625611"	"429"
"-1756895692335459560"	"1588"
"-797188196996991140"	"1763"
"5964794776079938030"	"3162"
"8359022296663299879"	"3663"
"8115574768027660471"	"3603"
"-6821815504623325969"	"523"
"1188306556528865133"	"2165"
"5381305641147496779"	"3033"
"6174030624768630049"	"3208"
"-1703927075416448593"	"1595"
"-3635452200201599036"	"1187"
"2665594491149638353"	"2451"
"2660523182149503333"	"2450"
"1852807762900550805"	"2292"
"-4676994035329171965"	"986"
"-2039602622287552129"	"1520"
"8218333417811039911"	"3627"
"8954300050796662304"	"3792"
"-1828229649447777005"	"1568"
"8246483793918857615"	"3636"
"-8184691105517631334"	"232"
"3658516986896566855"	"2646"
"3220209801310809840"	"2560"
"-7117805837919139104"	"454"
"6587696395571134279"	"3287"
"1274747088330592999"	"2180"
"-6767865713948388298"	"533"
"6534553132144552728"	"3274"
"5026099811254189140"	"2945"
"5370481134034691073"	"3031"
"-201536554680763933"	"1874"
"-3731678403857668842"	"1169"
"-6952707681756445525"	"495"
"-3936479494832144237"	"1134"
"-4844902181037291409"	"953"
"-7097595206598813277"	"461"
"-5100342078982033337"	"887"
"4135876604710417259"	"2752"
"-2988364459428670861"	"1319"
"-447380520842219103"	"1832"
"-5365621191326057651"	"836"
"-3306595998206250770"	"1250"
"-1135638411849566769"	"1689"
"4879216047058048587"	"2908"
"325736081283403068"	"1991"
"-4137720252324409143"	"1095"
"-1597744866915900932"	"1617"
"-6745372932164867880"	"539"
"4445993330794884217"	"2826"
"2171403269776386208"	"2367"
"-109273256828227415"	"1899"
"3646138308514800647"	"2642"
"908398624639479548"	"2118"
"6550652705279003104"	"3281"
"1395564513229487982"	"2210"
"7326537803977903766"	"3451"
"-4736314326613788604"	"972"
"-8333902830713908614"	"190"
"-2843591473366045892"	"1354"
"-5243679290783972836"	"856"
"5853240527723212968"	"3138"
"-431742904065760490"	"1834"
"-4828769571271312822"	"961"
"6101901840121098087"	"3193"
"-4978148206285395736"	"913"
"2329486021897558917"	"2390"
"4784462983212685670"	"2890"
"5541233720560719878"	"3068"
"1440141557368808457"	"2216"
