"Protein Groups Protein Group ID"	"Peptide Groups Peptide Group ID"
"1265"	"117485"
"1265"	"116751"
"1265"	"119551"
"1265"	"118132"
"1265"	"118538"
"1265"	"112925"
"1265"	"112670"
"1265"	"112813"
"1265"	"112884"
"1265"	"114613"
"1265"	"114342"
"1265"	"114322"
"1265"	"132902"
"1265"	"132933"
"1265"	"132940"
"1265"	"132942"
"1265"	"132949"
"1265"	"133836"
"1265"	"133414"
"1265"	"130775"
"1265"	"130779"
"1265"	"131237"
"1265"	"131274"
"1265"	"137645"
"1265"	"138040"
"1265"	"138074"
"1265"	"137203"
"1265"	"138754"
"1265"	"138223"
"1265"	"138341"
"1265"	"134804"
"1265"	"134423"
"1265"	"136183"
"1265"	"136309"
"1265"	"136777"
"1265"	"124481"
"1265"	"123177"
"1265"	"129460"
"1265"	"129091"
"1265"	"129282"
"1265"	"110026"
"1265"	"94389"
"1265"	"92530"
"1265"	"92340"
"1265"	"95538"
"1265"	"96436"
"1265"	"88139"
"1265"	"88208"
"1265"	"88551"
"1265"	"88810"
"1265"	"89708"
"1265"	"108701"
"1265"	"108185"
"1265"	"108196"
"1265"	"109759"
"1265"	"106659"
"1265"	"107380"
"1265"	"106827"
"1265"	"106836"
"1265"	"99664"
"1265"	"99467"
"1265"	"99468"
"1265"	"99786"
"1265"	"99820"
"1265"	"99821"
"1265"	"99824"
"1265"	"99825"
"1265"	"98867"
"1265"	"101736"
"1265"	"102983"
"1265"	"102988"
"1265"	"100539"
"1265"	"101712"
"1265"	"101119"
"1265"	"175118"
"1265"	"175186"
"1265"	"171854"
"1265"	"172396"
"1265"	"182175"
"1265"	"184402"
"1265"	"179483"
"1265"	"179500"
"1265"	"178808"
"1265"	"177860"
"1265"	"177742"
"1265"	"178050"
"1265"	"178667"
"1265"	"178051"
"1265"	"178052"
"1265"	"181034"
"1265"	"180288"
"1265"	"147341"
"1265"	"154152"
"1265"	"153070"
"1265"	"153072"
"1265"	"153363"
"1265"	"154478"
"1265"	"151362"
"1265"	"150386"
"1265"	"150616"
"1265"	"152595"
"1265"	"152034"
"1265"	"141830"
"1265"	"141137"
"1265"	"142605"
"1265"	"139548"
"1265"	"139051"
"1265"	"139746"
"1265"	"140247"
"1265"	"145541"
"1265"	"146592"
"1265"	"143390"
"1265"	"143447"
"1265"	"143462"
"1265"	"143503"
"1265"	"142993"
"1265"	"144113"
"1265"	"164125"
"1265"	"167739"
"1265"	"167982"
"1265"	"162254"
"1265"	"158270"
"1265"	"157847"
"1265"	"157134"
"1265"	"157080"
"1265"	"161992"
"1265"	"160572"
"1265"	"33196"
"1265"	"33218"
"1265"	"33321"
"1265"	"31293"
"1265"	"36589"
"1265"	"38299"
"1265"	"38456"
"1265"	"38457"
"1265"	"34822"
"1265"	"24594"
"1265"	"25599"
"1265"	"22800"
"1265"	"22802"
"1265"	"24324"
"1265"	"28300"
"1265"	"28659"
"1265"	"26409"
"1265"	"26895"
"1265"	"22798"
"1265"	"44936"
"1265"	"45043"
"1265"	"44630"
"1265"	"47865"
"1265"	"39678"
"1265"	"38818"
"1265"	"38885"
"1265"	"5555"
"1265"	"5585"
"1265"	"5502"
"1265"	"5437"
"1265"	"10301"
"1265"	"10369"
"1265"	"10370"
"1265"	"10379"
"1265"	"10382"
"1265"	"8057"
"1265"	"2402"
"1265"	"542"
"1265"	"873"
"1265"	"911"
