"Protein Groups Protein Group ID"	"Peptide Groups Peptide Group ID"
"1265"	"5122"
"1265"	"3077"
"1265"	"3676"
"1265"	"3677"
"1265"	"3543"
"1265"	"18009"
"1265"	"16609"
"1265"	"21132"
"1265"	"11230"
"1265"	"10763"
"1265"	"10852"
"1265"	"11330"
"1265"	"11460"
"1265"	"14857"
"1265"	"15988"
"1265"	"14483"
"1265"	"14350"
"1265"	"14349"
"1265"	"58989"
"1265"	"50451"
"1265"	"61779"
"1265"	"62529"
"1265"	"49916"
"1265"	"49918"
"1265"	"49917"
"1265"	"50313"
"1265"	"52660"
"1265"	"53170"
"1265"	"53171"
"1265"	"53176"
"1265"	"54104"
"1265"	"57948"
"1265"	"72109"
"1265"	"72169"
"1265"	"42916"
"1265"	"138709"
"1265"	"13062"
"1265"	"111804"
"1265"	"142554"
"1265"	"3278"
"1265"	"145836"
"1265"	"160112"
"1265"	"139576"
"1265"	"31674"
"1265"	"129223"
"1265"	"53910"
"1265"	"114400"
"1265"	"2535"
"1265"	"111159"
"1265"	"35450"
"1265"	"165201"
"1265"	"98306"
"1265"	"140135"
"1265"	"11089"
"1265"	"139124"
"1265"	"59002"
"1265"	"139279"
"1265"	"45594"
"1265"	"38800"
"1265"	"36289"
"1265"	"143665"
"1265"	"36543"
"1265"	"11473"
"1265"	"178990"
"1265"	"112815"
"1265"	"145081"
"1265"	"9171"
"1265"	"22801"
"1265"	"154492"
"1265"	"60883"
"1265"	"51387"
"1265"	"26091"
"1265"	"118145"
"1265"	"58871"
"1265"	"141563"
"1265"	"35084"
"1265"	"11655"
"1265"	"72110"
"1265"	"101787"
"1265"	"26147"
"1265"	"10609"
"1265"	"69263"
"1265"	"33902"
"1265"	"52915"
"1265"	"91348"
"1265"	"40502"
"1265"	"65824"
"1265"	"47936"
"1265"	"166158"
"1265"	"36377"
"1265"	"118256"
"1265"	"138340"
"1265"	"143598"
"1265"	"143667"
"1265"	"139533"
"1265"	"171503"
"1629"	"119952"
"1629"	"119351"
"1629"	"112383"
"1629"	"112384"
"1629"	"110481"
"1629"	"111759"
"1629"	"113856"
"1629"	"113857"
"1629"	"114481"
"1629"	"114482"
"1629"	"114480"
"1629"	"114331"
"1629"	"132868"
"1629"	"133803"
"1629"	"133804"
"1629"	"133999"
"1629"	"131308"
"1629"	"131377"
"1629"	"137160"
"1629"	"137161"
"1629"	"138734"
"1629"	"134456"
"1629"	"136448"
"1629"	"136548"
"1629"	"124800"
"1629"	"123874"
"1629"	"124088"
"1629"	"125304"
"1629"	"122171"
"1629"	"122012"
"1629"	"121941"
"1629"	"123078"
"1629"	"123079"
"1629"	"129420"
"1629"	"127084"
"1629"	"126010"
"1629"	"127611"
"1629"	"127610"
"1629"	"127491"
"1629"	"94957"
"1629"	"94225"
"1629"	"94226"
"1629"	"95125"
"1629"	"92735"
"1629"	"92736"
"1629"	"96835"
"1629"	"96829"
"1629"	"81897"
"1629"	"82169"
"1629"	"82351"
"1629"	"83364"
"1629"	"81380"
"1629"	"86855"
"1629"	"84119"
"1629"	"84710"
"1629"	"89920"
"1629"	"89921"
"1629"	"104349"
"1629"	"104350"
"1629"	"109078"
"1629"	"109211"
"1629"	"109245"
"1629"	"106644"
"1629"	"106645"
"1629"	"106655"
"1629"	"106656"
"1629"	"107340"
"1629"	"99789"
"1629"	"99819"
"1629"	"99823"
"1629"	"98392"
"1629"	"98393"
"1629"	"98842"
"1629"	"98852"
"1629"	"98946"
"1629"	"98955"
"1629"	"98765"
"1629"	"98766"
"1629"	"98791"
"1629"	"103070"
"1629"	"103071"
"1629"	"102565"
"1629"	"176091"
"1629"	"176092"
"1629"	"170451"
"1629"	"169189"
"1629"	"169887"
"1629"	"172959"
"1629"	"183319"
"1629"	"183345"
"1629"	"183571"
"1629"	"182024"
"1629"	"181800"
"1629"	"183953"
"1629"	"179088"
"1629"	"179090"
"1629"	"178341"
"1629"	"181035"
"1629"	"181036"
"1629"	"181037"
"1629"	"180427"
"1629"	"146910"
"1629"	"153415"
"1629"	"154477"
"1629"	"151964"
"1629"	"141166"
"1629"	"141328"
"1629"	"142521"
"1629"	"142522"
"1629"	"139345"
"1629"	"140757"
"1629"	"145082"
"1629"	"145116"
"1629"	"146000"
"1629"	"144829"
"1629"	"143387"
"1629"	"143419"
"1629"	"143537"
"1629"	"144619"
"1629"	"143677"
"1629"	"143694"
"1629"	"143809"
"1629"	"143854"
"1629"	"143856"
"1629"	"143937"
"1629"	"164344"
"1629"	"164839"
"1629"	"163577"
"1629"	"167869"
"1629"	"165874"
"1629"	"166744"
"1629"	"158619"
"1629"	"156703"
"1629"	"159112"
"1629"	"159113"
"1629"	"159135"
"1629"	"32066"
"1629"	"37108"
"1629"	"36667"
"1629"	"36541"
"1629"	"36542"
"1629"	"24956"
"1629"	"25597"
"1629"	"44506"
"1629"	"44555"
"1629"	"47621"
"1629"	"40987"
"1629"	"39312"
"1629"	"39949"
"1629"	"39950"
"1629"	"43892"
"1629"	"43384"
"1629"	"6002"
"1629"	"6115"
"1629"	"9500"
"1629"	"9501"
"1629"	"8556"
"1629"	"3989"
"1629"	"3169"
"1629"	"2764"
"1629"	"3272"
"1629"	"3492"
"1629"	"17626"
"1629"	"20126"
"1629"	"20234"
"1629"	"12687"
"1629"	"11069"
"1629"	"14351"
"1629"	"58999"
"1629"	"49915"
"1629"	"49914"
"1629"	"60885"
"1629"	"52997"
"1629"	"53405"
"1629"	"53905"
"1629"	"53945"
"1629"	"53946"
"1629"	"52911"
"1629"	"56836"
"1629"	"76240"
"1629"	"76241"
"1629"	"74640"
"1629"	"74641"
"1629"	"77191"
"1629"	"78065"
"1629"	"72081"
"1629"	"73481"
"1629"	"132496"
"1629"	"137422"
"1629"	"110154"
"1629"	"28504"
"1629"	"32622"
"1629"	"112594"
"1629"	"42526"
"1629"	"115618"
"1629"	"98443"
"1629"	"121061"
"1629"	"154650"
"1629"	"152738"
"1629"	"114954"
"1629"	"154457"
"1629"	"147007"
"1629"	"114953"
"1629"	"130460"
"1629"	"130461"
"1629"	"130594"
"1629"	"184133"
"1629"	"136592"
"1629"	"84711"
"1629"	"92476"
"1629"	"137414"
"1629"	"95124"
"1629"	"112622"
"1629"	"2843"
"1629"	"71807"
"1629"	"10730"
"1629"	"152031"
"1629"	"180426"
"1629"	"181038"
"1629"	"153414"
"1629"	"36977"
"1629"	"178969"
"1629"	"98851"
"1629"	"70778"
"1629"	"179826"
"1629"	"98945"
"1748"	"117050"
"1748"	"117101"
"1748"	"117102"
"1748"	"117104"
"1748"	"117162"
"1748"	"117229"
"1748"	"118114"
"1748"	"118068"
"1748"	"118055"
"1748"	"111841"
"1748"	"111842"
"1748"	"111843"
"1748"	"111845"
"1748"	"111846"
"1748"	"111847"
"1748"	"111848"
"1748"	"111849"
"1748"	"111851"
"1748"	"111857"
"1748"	"111859"
"1748"	"111839"
"1748"	"111838"
"1748"	"111836"
"1748"	"110647"
"1748"	"111646"
"1748"	"93304"
"1748"	"93327"
"1748"	"93391"
"1748"	"90939"
"1748"	"91937"
"1748"	"92004"
"1748"	"105600"
"1748"	"108040"
"1748"	"106532"
"1748"	"106601"
"1748"	"106309"
"1748"	"106447"
"1748"	"98630"
"1748"	"98633"
"1748"	"98647"
"1748"	"174689"
"1748"	"174741"
"1748"	"174478"
"1748"	"174452"
"1748"	"173150"
"1748"	"172678"
"1748"	"172690"
"1748"	"172692"
"1748"	"172694"
"1748"	"172706"
"1748"	"172710"
"1748"	"172839"
"1748"	"172697"
"1748"	"172460"
"1748"	"172462"
"1748"	"172468"
"1748"	"172475"
"1748"	"172509"
"1748"	"172510"
"1748"	"172511"
"1748"	"172512"
"1748"	"172513"
"1748"	"172514"
"1748"	"172516"
"1748"	"172523"
"1748"	"172459"
"1748"	"172458"
"1748"	"172457"
"1748"	"172456"
"1748"	"172450"
"1748"	"172451"
"1748"	"172452"
"1748"	"172454"
"1748"	"172455"
"1748"	"179195"
"1748"	"179384"
"1748"	"179760"
"1748"	"179864"
"1748"	"179890"
"1748"	"179508"
"1748"	"179510"
"1748"	"177820"
"1748"	"177607"
"1748"	"178172"
"1748"	"155742"
"1748"	"79904"
"1748"	"34720"
"1748"	"46291"
"1748"	"46293"
"1748"	"44131"
"1748"	"9774"
"1748"	"9547"
"1748"	"10033"
"1748"	"2282"
"1748"	"2286"
"1748"	"2334"
"1748"	"2014"
"1748"	"2024"
"1748"	"2034"
"1748"	"2060"
"1748"	"2923"
"1748"	"2505"
"1748"	"19435"
"1748"	"16610"
"1748"	"11915"
"1748"	"51059"
"1748"	"59938"
"1748"	"50896"
"1748"	"50310"
"1748"	"54984"
"1748"	"54991"
"1748"	"54612"
"1748"	"55522"
"1748"	"55549"
"1748"	"55609"
"1748"	"55615"
"1748"	"55130"
"1748"	"55133"
"1748"	"55148"
"1748"	"55698"
"1748"	"51617"
"1748"	"57022"
"1748"	"48706"
"1748"	"48705"
"1748"	"49158"
"1748"	"49157"
"1748"	"49156"
"1748"	"49152"
"1748"	"49151"
"1748"	"49150"
"1748"	"49155"
"1748"	"49159"
"1748"	"48701"
"1748"	"48405"
"1748"	"48296"
"1748"	"48700"
"1748"	"48699"
"1748"	"48702"
"1748"	"48485"
"1748"	"48540"
"1748"	"49678"
"1748"	"49677"
"1748"	"48698"
"1748"	"117588"
"1748"	"57203"
"1748"	"118209"
"1748"	"95023"
"1748"	"2922"
"1748"	"155837"
"1748"	"161927"
"1748"	"51042"
"1748"	"4572"
"1748"	"118109"
"1748"	"46294"
"1748"	"118062"
"1748"	"178871"
"1748"	"9831"
"1748"	"111645"
"1748"	"177737"
"1748"	"2027"
"1748"	"46469"
"1748"	"111852"
"1748"	"9773"
"1748"	"46289"
"1748"	"118064"
"1748"	"105880"
"1748"	"48747"
"1748"	"54985"
"1748"	"45325"
"1748"	"177738"
"1748"	"111850"
"1748"	"42942"
"1748"	"98629"
"1748"	"48707"
"1748"	"177786"
"1748"	"175005"
"1748"	"48556"
"1748"	"45324"
"1748"	"46290"
"1748"	"46295"
"1461"	"117357"
"1461"	"117105"
"1461"	"115674"
"1461"	"115528"
"1461"	"133776"
"1461"	"134458"
"1461"	"135360"
"1461"	"135445"
"1461"	"129446"
"1461"	"128132"
"1461"	"95512"
"1461"	"93483"
"1461"	"96548"
"1461"	"88803"
"1461"	"108012"
"1461"	"99483"
"1461"	"99103"
"1461"	"173959"
"1461"	"177309"
"1461"	"176147"
"1461"	"176580"
"1461"	"171118"
"1461"	"169071"
"1461"	"172917"
"1461"	"172562"
"1461"	"172316"
"1461"	"182353"
"1461"	"182763"
"1461"	"182704"
"1461"	"185223"
"1461"	"185798"
"1461"	"178885"
"1461"	"179542"
"1461"	"177854"
"1461"	"180062"
"1461"	"148032"
"1461"	"147332"
"1461"	"154369"
"1461"	"152426"
"1461"	"139040"
"1461"	"140835"
"1461"	"143946"
"1461"	"164273"
"1461"	"165588"
"1461"	"162659"
"1461"	"167745"
"1461"	"167533"
"1461"	"168623"
"1461"	"159508"
"1461"	"32074"
"1461"	"30379"
"1461"	"30200"
"1461"	"31230"
"1461"	"26470"
"1461"	"45477"
"1461"	"44210"
"1461"	"45027"
"1461"	"46668"
"1461"	"41278"
"1461"	"41097"
"1461"	"38965"
"1461"	"44080"
"1461"	"44043"
"1461"	"9190"
"1461"	"1503"
"1461"	"1999"
"1461"	"19524"
"1461"	"16634"
"1461"	"14602"
"1461"	"58058"
"1461"	"54274"
"1461"	"64376"
"1461"	"64221"
"1461"	"181613"
"1461"	"102117"
"1461"	"168555"
"1461"	"181363"
"1461"	"114775"
"1461"	"135395"
"1461"	"93430"
"1461"	"162943"
"1461"	"105104"
"1461"	"25678"
"1461"	"57734"
"1461"	"95821"
"1461"	"127931"
"1461"	"154952"
"1461"	"20892"
"1461"	"169675"
"1461"	"114764"
"1461"	"58813"
"1461"	"144826"
"1461"	"154778"
"1461"	"104038"
"1461"	"104559"
"1461"	"40199"
"1461"	"150587"
"1461"	"166777"
"1461"	"98838"
"1461"	"160885"
"1461"	"123084"
"1461"	"128580"
"1461"	"136264"
"1461"	"167767"
"1461"	"182174"
"1461"	"145852"
"1461"	"107950"
"1461"	"91591"
"1461"	"147980"
"1461"	"140172"
"1461"	"171395"
"1461"	"178079"
"1461"	"96251"
"1461"	"95773"
"1461"	"3102"
"1461"	"118637"
"1461"	"42717"
"2510"	"116061"
"2510"	"118910"
"2510"	"120917"
"2510"	"118194"
"2510"	"110170"
"2510"	"133070"
"2510"	"133983"
"2510"	"133285"
"2510"	"124761"
"2510"	"127655"
"2510"	"127382"
"2510"	"95013"
"2510"	"93281"
"2510"	"88600"
"2510"	"86359"
"2510"	"85829"
"2510"	"91530"
"2510"	"89724"
"2510"	"89726"
"2510"	"104025"
"2510"	"108843"
"2510"	"109484"
"2510"	"107713"
"2510"	"100706"
"2510"	"176650"
"2510"	"177124"
"2510"	"176555"
"2510"	"172842"
"2510"	"183208"
"2510"	"179411"
"2510"	"180887"
"2510"	"148776"
"2510"	"154383"
"2510"	"141350"
"2510"	"141009"
"2510"	"140592"
"2510"	"139905"
"2510"	"143519"
"2510"	"143613"
"2510"	"163783"
"2510"	"162774"
"2510"	"162391"
"2510"	"167989"
"2510"	"162266"
"2510"	"161755"
"2510"	"33603"
"2510"	"33949"
"2510"	"36354"
"2510"	"38296"
"2510"	"25035"
"2510"	"29287"
"2510"	"45065"
"2510"	"38663"
"2510"	"43380"
"2510"	"6990"
"2510"	"6740"
"2510"	"6873"
"2510"	"5467"
"2510"	"9358"
"2510"	"19503"
"2510"	"19613"
"2510"	"17063"
"2510"	"17712"
"2510"	"21763"
"2510"	"19948"
"2510"	"11995"
"2510"	"59716"
"2510"	"68444"
"2510"	"70713"
"2510"	"65547"
"2510"	"78655"
"2510"	"78106"
"2510"	"48534"
"2510"	"63465"
"2510"	"175053"
"2510"	"130741"
"2510"	"132906"
"2510"	"159296"
"2510"	"67522"
"2510"	"113228"
"2510"	"49217"
"2510"	"1910"
"2510"	"46938"
"2510"	"47683"
"2510"	"108928"
"2510"	"169843"
"2510"	"63466"
"2510"	"137192"
"2510"	"74855"
"2510"	"28741"
"2510"	"172961"
"2510"	"137132"
"2510"	"98869"
"2510"	"25036"
"2510"	"164741"
"2510"	"38497"
"1912"	"117985"
"1912"	"110768"
"1912"	"114386"
"1912"	"130128"
"1912"	"131700"
"1912"	"136892"
"1912"	"125895"
"1912"	"95344"
"1912"	"96385"
"1912"	"88231"
"1912"	"85833"
"1912"	"91038"
"1912"	"91247"
"1912"	"90904"
"1912"	"91503"
"1912"	"104158"
"1912"	"108155"
"1912"	"109311"
"1912"	"102595"
"1912"	"175615"
"1912"	"177286"
"1912"	"172895"
"1912"	"177557"
"1912"	"141756"
"1912"	"140284"
"1912"	"145489"
"1912"	"157958"
"1912"	"157678"
"1912"	"156635"
"1912"	"37023"
"1912"	"37892"
"1912"	"36052"
"1912"	"35295"
"1912"	"25327"
"1912"	"26232"
"1912"	"26742"
"1912"	"26799"
"1912"	"26822"
"1912"	"43529"
"1912"	"7974"
"1912"	"19302"
"1912"	"19301"
"1912"	"21278"
"1912"	"21356"
"1912"	"21391"
"1912"	"20817"
"1912"	"59703"
"1912"	"59713"
"1912"	"58432"
"1912"	"62662"
"1912"	"54213"
"1912"	"54018"
"1912"	"62663"
"1912"	"70742"
"1912"	"48650"
"1912"	"48523"
"1912"	"62826"
"1912"	"62672"
"1912"	"62665"
"1912"	"112951"
"1912"	"24790"
"1912"	"182316"
"1912"	"24741"
"1912"	"19087"
"1912"	"109019"
"1912"	"102469"
"1912"	"29520"
"1912"	"38766"
"1912"	"49228"
"1912"	"130829"
"1912"	"19089"
"1912"	"70673"
"1912"	"97670"
"1912"	"153194"
"1912"	"59320"
"1912"	"103592"
"1912"	"142773"
"1912"	"92520"
"1912"	"71590"
"1912"	"99829"
"1912"	"23122"
"1912"	"24736"
"1912"	"153365"
"1912"	"102671"
"1014"	"116707"
"1014"	"119826"
"1014"	"115782"
"1014"	"114430"
"1014"	"121538"
"1014"	"84747"
"1014"	"91996"
"1014"	"89501"
"1014"	"105945"
"1014"	"108991"
"1014"	"106458"
"1014"	"99171"
"1014"	"100854"
"1014"	"175080"
"1014"	"174797"
"1014"	"176377"
"1014"	"173543"
"1014"	"171774"
"1014"	"171864"
"1014"	"171865"
"1014"	"177539"
"1014"	"183616"
"1014"	"183636"
"1014"	"183638"
"1014"	"181828"
"1014"	"182707"
"1014"	"185859"
"1014"	"184679"
"1014"	"179389"
"1014"	"179144"
"1014"	"179871"
"1014"	"177614"
"1014"	"177615"
"1014"	"178066"
"1014"	"181444"
"1014"	"180615"
"1014"	"141591"
"1014"	"142608"
"1014"	"139350"
"1014"	"145495"
"1014"	"145757"
"1014"	"163673"
"1014"	"163677"
"1014"	"163896"
"1014"	"162953"
"1014"	"155409"
"1014"	"155430"
"1014"	"31435"
"1014"	"36857"
"1014"	"24756"
"1014"	"26278"
"1014"	"27086"
"1014"	"45343"
"1014"	"45303"
"1014"	"47628"
"1014"	"47635"
"1014"	"43945"
"1014"	"42873"
"1014"	"5288"
"1014"	"5443"
"1014"	"9352"
"1014"	"8606"
"1014"	"3899"
"1014"	"5176"
"1014"	"4911"
"1014"	"2927"
"1014"	"3228"
"1014"	"2847"
"1014"	"18869"
"1014"	"11820"
"1014"	"15861"
"1014"	"15863"
"1014"	"14724"
"1014"	"16220"
"1014"	"15939"
"1014"	"14582"
"1014"	"58055"
"1014"	"53922"
"1014"	"56129"
"1014"	"77178"
"1014"	"79093"
"1014"	"71732"
"1014"	"19134"
"1014"	"14075"
"1014"	"174991"
"1014"	"40704"
"1014"	"2452"
"1014"	"112032"
"1014"	"180704"
"1014"	"135184"
"1014"	"8681"
"1014"	"15800"
"1014"	"22925"
"2644"	"115792"
"2644"	"114393"
"2644"	"121499"
"2644"	"127819"
"2644"	"95328"
"2644"	"95197"
"2644"	"96880"
"2644"	"89014"
"2644"	"92007"
"2644"	"105942"
"2644"	"108991"
"2644"	"106735"
"2644"	"99171"
"2644"	"100854"
"2644"	"174005"
"2644"	"174006"
"2644"	"175665"
"2644"	"177396"
"2644"	"176619"
"2644"	"176381"
"2644"	"176523"
"2644"	"170940"
"2644"	"173538"
"2644"	"177537"
"2644"	"183620"
"2644"	"183632"
"2644"	"182710"
"2644"	"182540"
"2644"	"185293"
"2644"	"185857"
"2644"	"179875"
"2644"	"179952"
"2644"	"178068"
"2644"	"178176"
"2644"	"180616"
"2644"	"180748"
"2644"	"142270"
"2644"	"145496"
"2644"	"162731"
"2644"	"163176"
"2644"	"155406"
"2644"	"155408"
"2644"	"155431"
"2644"	"161365"
"2644"	"161384"
"2644"	"22923"
"2644"	"24039"
"2644"	"28374"
"2644"	"28375"
"2644"	"26268"
"2644"	"26279"
"2644"	"27085"
"2644"	"45289"
"2644"	"47587"
"2644"	"46901"
"2644"	"46713"
"2644"	"42857"
"2644"	"5631"
"2644"	"9978"
"2644"	"5218"
"2644"	"818"
"2644"	"4911"
"2644"	"4998"
"2644"	"3241"
"2644"	"3666"
"2644"	"18266"
"2644"	"19425"
"2644"	"17576"
"2644"	"15864"
"2644"	"14723"
"2644"	"15938"
"2644"	"14584"
"2644"	"52563"
"2644"	"52929"
"2644"	"56130"
"2644"	"48835"
"2644"	"77178"
"2644"	"64118"
"2644"	"63831"
"2644"	"19134"
"2644"	"141987"
"2644"	"106335"
"2644"	"61628"
"2644"	"175079"
"2644"	"2926"
"2644"	"48768"
"2644"	"135184"
"2644"	"186043"
"2644"	"185494"
"2644"	"8681"
"2644"	"104657"
"1124"	"118294"
"1124"	"110358"
"1124"	"110359"
"1124"	"134659"
"1124"	"134660"
"1124"	"134661"
"1124"	"124811"
"1124"	"124812"
"1124"	"124813"
"1124"	"122054"
"1124"	"122055"
"1124"	"122168"
"1124"	"122170"
"1124"	"126799"
"1124"	"126800"
"1124"	"93857"
"1124"	"93858"
"1124"	"89156"
"1124"	"81641"
"1124"	"81642"
"1124"	"91731"
"1124"	"104320"
"1124"	"104321"
"1124"	"102738"
"1124"	"172614"
"1124"	"172613"
"1124"	"183073"
"1124"	"183076"
"1124"	"183121"
"1124"	"183122"
"1124"	"181765"
"1124"	"179048"
"1124"	"179049"
"1124"	"148840"
"1124"	"148841"
"1124"	"148849"
"1124"	"149443"
"1124"	"150112"
"1124"	"150113"
"1124"	"146781"
"1124"	"147320"
"1124"	"147321"
"1124"	"147322"
"1124"	"154143"
"1124"	"154144"
"1124"	"153568"
"1124"	"150838"
"1124"	"150839"
"1124"	"150840"
"1124"	"152802"
"1124"	"152803"
"1124"	"152804"
"1124"	"144814"
"1124"	"144624"
"1124"	"144625"
"1124"	"143849"
"1124"	"163923"
"1124"	"163924"
"1124"	"165283"
"1124"	"166806"
"1124"	"166807"
"1124"	"166808"
"1124"	"24745"
"1124"	"24746"
"1124"	"25716"
"1124"	"44608"
"1124"	"44609"
"1124"	"46392"
"1124"	"46953"
"1124"	"39317"
"1124"	"38704"
"1124"	"38705"
"1124"	"2412"
"1124"	"2413"
"1124"	"2414"
"1124"	"11298"
"1124"	"11299"
"1124"	"11300"
"1124"	"15970"
"1124"	"50951"
"1124"	"60352"
"1124"	"57505"
"1124"	"57084"
"1124"	"57085"
"1124"	"67823"
"1124"	"67824"
"1124"	"49418"
"1124"	"49419"
"1124"	"146782"
"3158"	"117865"
"3158"	"117569"
"3158"	"115818"
"3158"	"120289"
"3158"	"118074"
"3158"	"118654"
"3158"	"113082"
"3158"	"115715"
"3158"	"114278"
"3158"	"135413"
"3158"	"129528"
"3158"	"94563"
"3158"	"88686"
"3158"	"104270"
"3158"	"104313"
"3158"	"106793"
"3158"	"106925"
"3158"	"99661"
"3158"	"103119"
"3158"	"101201"
"3158"	"174819"
"3158"	"175370"
"3158"	"176938"
"3158"	"172162"
"3158"	"181974"
"3158"	"178194"
"3158"	"148915"
"3158"	"152596"
"3158"	"145440"
"3158"	"167912"
"3158"	"168006"
"3158"	"168228"
"3158"	"156802"
"3158"	"160977"
"3158"	"161085"
"3158"	"160719"
"3158"	"33678"
"3158"	"31341"
"3158"	"30865"
"3158"	"34210"
"3158"	"24791"
"3158"	"25299"
"3158"	"23306"
"3158"	"24318"
"3158"	"41262"
"3158"	"42200"
"3158"	"39184"
"3158"	"39180"
"3158"	"43049"
"3158"	"8650"
"3158"	"3811"
"3158"	"18112"
"3158"	"21433"
"3158"	"11201"
"3158"	"16317"
"3158"	"59707"
"3158"	"61434"
"3158"	"54379"
"3158"	"69095"
"3158"	"64339"
"3158"	"63870"
"3158"	"62827"
"3158"	"63083"
"3158"	"60101"
"3158"	"92516"
"3158"	"17298"
"3158"	"100404"
"3158"	"21766"
"3158"	"26996"
"3158"	"90696"
"3158"	"134349"
"3158"	"102857"
"3158"	"21454"
"3158"	"133258"
"3158"	"102572"
"3158"	"41141"
"3158"	"72819"
"3158"	"140520"
"3158"	"76701"
"3158"	"41174"
"3158"	"103402"
"3158"	"73062"
"3154"	"117346"
"3154"	"116670"
"3154"	"118387"
"3154"	"115289"
"3154"	"133574"
"3154"	"134813"
"3154"	"134818"
"3154"	"124288"
"3154"	"123615"
"3154"	"96069"
"3154"	"104523"
"3154"	"107804"
"3154"	"106556"
"3154"	"99179"
"3154"	"100159"
"3154"	"101572"
"3154"	"175149"
"3154"	"170407"
"3154"	"184686"
"3154"	"181145"
"3154"	"179981"
"3154"	"154386"
"3154"	"151791"
"3154"	"142677"
"3154"	"145239"
"3154"	"162571"
"3154"	"167875"
"3154"	"158889"
"3154"	"23286"
"3154"	"47127"
"3154"	"38992"
"3154"	"7535"
"3154"	"51002"
"3154"	"62140"
"3154"	"60338"
"3154"	"52704"
"3154"	"54977"
"3154"	"68454"
"3154"	"113940"
"3154"	"102131"
"3154"	"168519"
"3154"	"131651"
"3154"	"20315"
"3154"	"102169"
"3154"	"89628"
"3154"	"20450"
"3154"	"63550"
"3154"	"99890"
"3154"	"96731"
"3154"	"139045"
"3154"	"170942"
"3154"	"96306"
"3154"	"177671"
"3154"	"132186"
"3154"	"99759"
"3154"	"151695"
"3154"	"71926"
"3154"	"130049"
"3154"	"9888"
"3154"	"174030"
"3154"	"180622"
"3154"	"125299"
"3154"	"159281"
"3154"	"182167"
"3154"	"96888"
"3154"	"111614"
"3154"	"182796"
"3154"	"44991"
"3154"	"64198"
"3154"	"102545"
"3154"	"152838"
"3154"	"120303"
