"Input Files Workflow ID"	"Input Files Workflow Level"	"Input Files "	"Study Information Id"
"-116"	"1"	"940"	"1"
"-116"	"1"	"941"	"2"
"-116"	"1"	"942"	"3"
"-116"	"1"	"943"	"4"
"-116"	"1"	"944"	"5"
"-116"	"1"	"945"	"6"
"-116"	"1"	"946"	"7"
"-116"	"1"	"947"	"8"
"-116"	"1"	"948"	"9"
"-116"	"1"	"949"	"10"
"-116"	"1"	"950"	"11"
"-116"	"1"	"951"	"12"
"-116"	"1"	"952"	"13"
"-116"	"1"	"953"	"14"
"-116"	"1"	"954"	"15"
"-116"	"1"	"955"	"16"
"-116"	"1"	"956"	"17"
"-116"	"1"	"957"	"18"
"-116"	"1"	"958"	"19"
"-116"	"1"	"959"	"20"
"-116"	"1"	"960"	"21"
"-116"	"1"	"961"	"22"
"-116"	"1"	"962"	"23"
"-116"	"1"	"963"	"24"
"-116"	"1"	"964"	"25"
"-116"	"1"	"965"	"26"
"-116"	"1"	"966"	"27"
"-116"	"1"	"967"	"28"
"-116"	"1"	"968"	"29"
"-116"	"1"	"969"	"30"
"-116"	"1"	"970"	"31"
"-116"	"1"	"971"	"32"
"-116"	"1"	"972"	"33"
"-116"	"1"	"973"	"34"
"-116"	"1"	"974"	"35"
"-116"	"1"	"975"	"36"
"-116"	"1"	"976"	"37"
"-116"	"1"	"977"	"38"
"-116"	"1"	"978"	"39"
"-116"	"1"	"979"	"40"
"-116"	"1"	"980"	"41"
"-116"	"1"	"981"	"42"
"-116"	"1"	"982"	"43"
"-116"	"1"	"983"	"44"
"-116"	"1"	"984"	"45"
"-116"	"1"	"985"	"46"
"-116"	"1"	"986"	"47"
"-116"	"1"	"987"	"48"
"-116"	"1"	"988"	"49"
"-116"	"1"	"989"	"50"
"-116"	"1"	"990"	"51"
"-116"	"1"	"991"	"52"
"-116"	"1"	"992"	"53"
"-116"	"1"	"993"	"54"
"-116"	"1"	"994"	"55"
"-116"	"1"	"995"	"56"
"-116"	"1"	"996"	"57"
"-116"	"1"	"997"	"58"
"-116"	"1"	"998"	"59"
"-116"	"1"	"999"	"60"
"-116"	"1"	"1000"	"61"
"-116"	"1"	"1001"	"62"
"-116"	"1"	"1002"	"63"
"-116"	"1"	"1003"	"64"
"-116"	"1"	"1004"	"65"
"-116"	"1"	"1005"	"66"
"-116"	"1"	"1006"	"67"
"-116"	"1"	"1007"	"68"
"-116"	"1"	"1008"	"69"
"-116"	"1"	"1009"	"70"
"-116"	"1"	"1010"	"71"
"-116"	"1"	"1011"	"72"
"-116"	"1"	"1012"	"73"
"-116"	"1"	"1013"	"74"
"-116"	"1"	"1014"	"75"
"-116"	"1"	"1015"	"76"
"-116"	"1"	"1016"	"77"
"-116"	"1"	"1017"	"78"
"-116"	"1"	"1018"	"79"
"-116"	"1"	"1019"	"80"
"-116"	"1"	"1020"	"81"
"-116"	"1"	"1021"	"82"
"-116"	"1"	"1022"	"83"
"-116"	"1"	"1023"	"84"
"-116"	"1"	"1024"	"85"
"-116"	"1"	"1025"	"86"
"-116"	"1"	"1026"	"87"
"-116"	"1"	"1027"	"88"
"-116"	"1"	"1028"	"89"
"-116"	"1"	"1029"	"90"
"-116"	"1"	"1030"	"91"
