"Input Files Workflow ID"	"Input Files Workflow Level"	"Input Files "	"File ID"	"File Name"	"Creation Date"	"RT Range [min]"	"Instrument Name"	"Software Revision"	"Ref. File ID"	"Max. Mass [Da]"
"-286"	"1"	"940"	"F1"	"Y:\2023\3\Payne_organoids\blank_CH1_R5.raw"	"3/24/2023 5:46:56 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"4930.55273"
"-286"	"1"	"941"	"F2"	"Y:\2023\3\Payne_organoids\blank_CH2_R5.raw"	"3/24/2023 7:01:03 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"4195.34375"
"-286"	"1"	"942"	"F3"	"Y:\2023\3\Payne_organoids\HFL1boost_Healthy_CH1_F18.raw"	"3/25/2023 6:04:00 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6037.60059"
"-286"	"1"	"943"	"F4"	"Y:\2023\3\Payne_organoids\HFL1boost_Healthy_CH2_F16.raw"	"3/25/2023 9:44:57 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	""	"6159.07080"
"-286"	"1"	"944"	"F5"	"Y:\2023\3\Payne_organoids\HFL1boost_Healthy_CH2_F17.raw"	"3/25/2023 7:17:38 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6160.06738"
"-286"	"1"	"945"	"F6"	"Y:\2023\3\Payne_organoids\HFL1boost_Unhealthy_CH1_H16.raw"	"3/25/2023 1:09:22 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6335.56104"
"-286"	"1"	"946"	"F7"	"Y:\2023\3\Payne_organoids\HFL1boost_Unhealthy_CH1_H18.raw"	"3/24/2023 8:14:43 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6037.60254"
"-286"	"1"	"947"	"F8"	"Y:\2023\3\Payne_organoids\HFL1boost_Unhealthy_CH2_H17.raw"	"3/25/2023 2:23:00 AM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6335.54248"
"-286"	"1"	"951"	"F12"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Healthy_CH1_H4.raw"	"3/30/2023 10:34:32 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6162.08594"
"-286"	"1"	"952"	"F14"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Healthy_CH1_I3.raw"	"3/30/2023 5:40:04 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6353.53662"
"-286"	"1"	"953"	"F15"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Healthy_CH2_C2.raw"	"3/29/2023 4:36:47 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6385.19189"
"-286"	"1"	"954"	"F16"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Healthy_CH2_E2.raw"	"3/29/2023 2:09:36 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6162.09619"
"-286"	"1"	"955"	"F17"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Healthy_CH2_F2.raw"	"3/28/2023 11:42:26 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6161.06836"
"-286"	"1"	"956"	"F18"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Healthy_CH2_G2.raw"	"3/28/2023 6:48:00 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6401.49707"
"-286"	"1"	"957"	"F19"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Healthy_CH2_H2.raw"	"3/28/2023 4:20:47 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6399.99170"
"-286"	"1"	"958"	"F20"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Healthy_CH2_J2.raw"	"3/29/2023 7:03:58 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6332.10547"
"-286"	"1"	"960"	"F22"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Healthy_CH2_K3.raw"	"3/30/2023 9:20:55 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6329.54834"
"-286"	"1"	"961"	"F23"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Unhealthy_CH1_B5.raw"	"3/28/2023 5:34:24 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6367.87549"
"-286"	"1"	"962"	"F24"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Unhealthy_CH1_B6.raw"	"3/29/2023 7:51:18 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"5726.79639"
"-286"	"1"	"963"	"F25"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Unhealthy_CH1_C5.raw"	"3/29/2023 12:56:00 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6117.23096"
"-286"	"1"	"964"	"F26"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Unhealthy_CH1_C6.raw"	"3/29/2023 10:18:31 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6295.37891"
"-286"	"1"	"965"	"F27"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Unhealthy_CH1_D5.raw"	"3/28/2023 8:01:37 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"5651.76709"
"-286"	"1"	"966"	"F28"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Unhealthy_CH1_D7.raw"	"3/30/2023 8:07:19 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6161.07568"
"-286"	"1"	"967"	"F29"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Unhealthy_CH1_E5.raw"	"3/29/2023 1:12:30 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6375.00342"
"-286"	"1"	"969"	"F31"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Unhealthy_CH1_H7.raw"	"3/30/2023 1:01:49 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6353.53955"
"-286"	"1"	"970"	"F32"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Unhealthy_CH1_J5.raw"	"3/29/2023 5:50:23 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6161.07959"
"-286"	"1"	"971"	"F33"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Unhealthy_CH1_J6.raw"	"3/30/2023 3:12:54 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6398.93262"
"-286"	"1"	"973"	"F35"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Unhealthy_CH2_B7.raw"	"3/30/2023 4:26:30 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"5846.55225"
"-286"	"1"	"974"	"F36"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Unhealthy_CH2_F7.raw"	"3/29/2023 11:32:07 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"5986.84033"
"-286"	"1"	"976"	"F38"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Unhealthy_CH2_G6.raw"	"3/30/2023 11:48:09 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6366.83398"
"-286"	"1"	"977"	"F39"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Unhealthy_CH2_H5.raw"	"3/29/2023 11:58:19 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6320.87256"
"-286"	"1"	"978"	"F40"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Unhealthy_CH2_H6.raw"	"3/30/2023 1:59:18 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6161.06592"
"-286"	"1"	"979"	"F41"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Unhealthy_CH2_I6.raw"	"3/30/2023 6:53:41 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6197.65625"
"-286"	"1"	"980"	"F42"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Unhealthy_CH2_K7.raw"	"3/29/2023 9:04:56 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"5586.47998"
"-286"	"1"	"981"	"F43"	"Y:\2023\3\Payne_organoids\HFL1SC_Healthy_CH1_C2.raw"	"3/27/2023 7:27:08 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6147.07666"
"-286"	"1"	"982"	"F44"	"Y:\2023\3\Payne_organoids\HFL1SC_Healthy_CH1_C3.raw"	"3/26/2023 4:09:55 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6037.63330"
"-286"	"1"	"983"	"F45"	"Y:\2023\3\Payne_organoids\HFL1SC_Healthy_CH1_C4.raw"	"3/27/2023 2:32:27 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6315.26904"
"-286"	"1"	"984"	"F46"	"Y:\2023\3\Payne_organoids\HFL1SC_Healthy_CH1_E3.raw"	"3/28/2023 5:16:31 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6145.02100"
"-286"	"1"	"985"	"F47"	"Y:\2023\3\Payne_organoids\HFL1SC_Healthy_CH1_E4.raw"	"3/26/2023 1:42:37 AM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"5986.83252"
"-286"	"1"	"986"	"F48"	"Y:\2023\3\Payne_organoids\HFL1SC_Healthy_CH1_F4.raw"	"3/26/2023 4:26:31 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6052.09082"
"-286"	"1"	"987"	"F50"	"Y:\2023\3\Payne_organoids\HFL1SC_Healthy_CH1_G4.raw"	"3/27/2023 4:59:47 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6334.56299"
