"Proteins Unique Sequence ID"	"Peptide Groups Peptide Group ID"
"-3241887692250600056"	"108196"
"-3241887692250600056"	"109759"
"-3241887692250600056"	"106659"
"-3241887692250600056"	"107380"
"-3241887692250600056"	"106827"
"-3241887692250600056"	"106836"
"-3241887692250600056"	"99664"
"-3241887692250600056"	"99467"
"-3241887692250600056"	"99468"
"-3241887692250600056"	"99786"
"-3241887692250600056"	"99820"
"-3241887692250600056"	"99821"
"-3241887692250600056"	"99824"
"-3241887692250600056"	"99825"
"-3241887692250600056"	"98867"
"-3241887692250600056"	"101736"
"-3241887692250600056"	"102983"
"-3241887692250600056"	"102988"
"-3241887692250600056"	"100539"
"-3241887692250600056"	"101712"
"-3241887692250600056"	"101119"
"-3241887692250600056"	"175118"
"-3241887692250600056"	"175186"
"-3241887692250600056"	"171854"
"-3241887692250600056"	"172396"
"-3241887692250600056"	"182175"
"-3241887692250600056"	"184402"
"-3241887692250600056"	"179483"
"-3241887692250600056"	"179500"
"-3241887692250600056"	"178808"
"-3241887692250600056"	"177860"
"-3241887692250600056"	"177742"
"-3241887692250600056"	"178050"
"-3241887692250600056"	"178667"
"-3241887692250600056"	"178051"
"-3241887692250600056"	"178052"
"-3241887692250600056"	"181034"
"-3241887692250600056"	"180288"
"-3241887692250600056"	"147341"
"-3241887692250600056"	"154152"
"-3241887692250600056"	"153070"
"-3241887692250600056"	"153072"
"-3241887692250600056"	"153363"
"-3241887692250600056"	"154478"
"-3241887692250600056"	"151362"
"-3241887692250600056"	"150386"
"-3241887692250600056"	"150616"
"-3241887692250600056"	"152595"
"-3241887692250600056"	"152034"
"-3241887692250600056"	"141830"
"-3241887692250600056"	"141137"
"-3241887692250600056"	"142605"
"-3241887692250600056"	"139548"
"-3241887692250600056"	"139051"
"-3241887692250600056"	"139746"
"-3241887692250600056"	"140247"
"-3241887692250600056"	"145541"
"-3241887692250600056"	"146592"
"-3241887692250600056"	"143390"
"-3241887692250600056"	"143447"
"-3241887692250600056"	"143462"
"-3241887692250600056"	"143503"
"-3241887692250600056"	"142993"
"-3241887692250600056"	"144113"
"-3241887692250600056"	"164125"
"-3241887692250600056"	"167739"
"-3241887692250600056"	"167982"
"-3241887692250600056"	"162254"
"-3241887692250600056"	"158270"
"-3241887692250600056"	"157847"
"-3241887692250600056"	"157134"
"-3241887692250600056"	"157080"
"-3241887692250600056"	"161992"
"-3241887692250600056"	"160572"
"-3241887692250600056"	"33196"
"-3241887692250600056"	"33218"
"-3241887692250600056"	"33321"
"-3241887692250600056"	"31293"
"-3241887692250600056"	"36589"
"-3241887692250600056"	"38299"
"-3241887692250600056"	"38456"
"-3241887692250600056"	"38457"
"-3241887692250600056"	"34822"
"-3241887692250600056"	"24594"
"-3241887692250600056"	"25599"
"-3241887692250600056"	"22800"
"-3241887692250600056"	"22802"
"-3241887692250600056"	"24324"
"-3241887692250600056"	"28300"
"-3241887692250600056"	"28659"
"-3241887692250600056"	"26409"
"-3241887692250600056"	"26895"
"-3241887692250600056"	"22798"
"-3241887692250600056"	"44936"
"-3241887692250600056"	"45043"
"-3241887692250600056"	"44630"
"-3241887692250600056"	"47865"
"-3241887692250600056"	"39678"
"-3241887692250600056"	"38818"
"-3241887692250600056"	"38885"
"-3241887692250600056"	"5555"
"-3241887692250600056"	"5585"
"-3241887692250600056"	"5502"
"-3241887692250600056"	"5437"
"-3241887692250600056"	"10301"
"-3241887692250600056"	"10369"
"-3241887692250600056"	"10370"
"-3241887692250600056"	"10379"
"-3241887692250600056"	"10382"
"-3241887692250600056"	"8057"
"-3241887692250600056"	"2402"
"-3241887692250600056"	"542"
"-3241887692250600056"	"873"
"-3241887692250600056"	"911"
"-3241887692250600056"	"5122"
"-3241887692250600056"	"3077"
"-3241887692250600056"	"3676"
"-3241887692250600056"	"3677"
"-3241887692250600056"	"3543"
"-3241887692250600056"	"18009"
"-3241887692250600056"	"16609"
"-3241887692250600056"	"21132"
"-3241887692250600056"	"11230"
"-3241887692250600056"	"10763"
"-3241887692250600056"	"10852"
"-3241887692250600056"	"11330"
"-3241887692250600056"	"11460"
"-3241887692250600056"	"14857"
"-3241887692250600056"	"15988"
"-3241887692250600056"	"14483"
"-3241887692250600056"	"14350"
"-3241887692250600056"	"14349"
"-3241887692250600056"	"58989"
"-3241887692250600056"	"50451"
"-3241887692250600056"	"61779"
"-3241887692250600056"	"62529"
"-3241887692250600056"	"49916"
"-3241887692250600056"	"49918"
"-3241887692250600056"	"49917"
"-3241887692250600056"	"50313"
"-3241887692250600056"	"52660"
"-3241887692250600056"	"53170"
"-3241887692250600056"	"53171"
"-3241887692250600056"	"53176"
"-3241887692250600056"	"54104"
"-3241887692250600056"	"57948"
"-3241887692250600056"	"72109"
"-3241887692250600056"	"72169"
"-3241887692250600056"	"42916"
"-3241887692250600056"	"138709"
"-3241887692250600056"	"13062"
"-3241887692250600056"	"111804"
"-3241887692250600056"	"142554"
"-3241887692250600056"	"3278"
"-3241887692250600056"	"145836"
"-3241887692250600056"	"160112"
"-3241887692250600056"	"139576"
"-3241887692250600056"	"31674"
"-3241887692250600056"	"129223"
"-3241887692250600056"	"53910"
"-3241887692250600056"	"114400"
"-3241887692250600056"	"2535"
"-3241887692250600056"	"111159"
"-3241887692250600056"	"35450"
"-3241887692250600056"	"165201"
"-3241887692250600056"	"98306"
"-3241887692250600056"	"140135"
"-3241887692250600056"	"11089"
"-3241887692250600056"	"139124"
"-3241887692250600056"	"59002"
"-3241887692250600056"	"139279"
"-3241887692250600056"	"45594"
"-3241887692250600056"	"38800"
"-3241887692250600056"	"36289"
"-3241887692250600056"	"143665"
"-3241887692250600056"	"36543"
"-3241887692250600056"	"11473"
"-3241887692250600056"	"178990"
"-3241887692250600056"	"112815"
"-3241887692250600056"	"145081"
"-3241887692250600056"	"9171"
"-3241887692250600056"	"22801"
"-3241887692250600056"	"154492"
"-3241887692250600056"	"60883"
"-3241887692250600056"	"51387"
"-3241887692250600056"	"26091"
"-3241887692250600056"	"118145"
"-3241887692250600056"	"58871"
"-3241887692250600056"	"141563"
"-3241887692250600056"	"35084"
"-3241887692250600056"	"11655"
"-3241887692250600056"	"72110"
"-3241887692250600056"	"101787"
"-3241887692250600056"	"26147"
"-3241887692250600056"	"10609"
"-3241887692250600056"	"69263"
"-3241887692250600056"	"33902"
"-3241887692250600056"	"52915"
"-3241887692250600056"	"91348"
"-3241887692250600056"	"40502"
"-3241887692250600056"	"65824"
"-3241887692250600056"	"47936"
"-3241887692250600056"	"166158"
"-3241887692250600056"	"36377"
"-3241887692250600056"	"118256"
"-3241887692250600056"	"138340"
"-3241887692250600056"	"143598"
"-3241887692250600056"	"143667"
"-3241887692250600056"	"139533"
"-3241887692250600056"	"171503"
"-1474010075378452952"	"119952"
"-1474010075378452952"	"119351"
"-1474010075378452952"	"112383"
"-1474010075378452952"	"112384"
"-1474010075378452952"	"110481"
"-1474010075378452952"	"111759"
"-1474010075378452952"	"113856"
"-1474010075378452952"	"113857"
"-1474010075378452952"	"114481"
"-1474010075378452952"	"114482"
"-1474010075378452952"	"114480"
"-1474010075378452952"	"114331"
"-1474010075378452952"	"132868"
"-1474010075378452952"	"133803"
"-1474010075378452952"	"133804"
"-1474010075378452952"	"133999"
"-1474010075378452952"	"131308"
"-1474010075378452952"	"131377"
"-1474010075378452952"	"137160"
"-1474010075378452952"	"137161"
"-1474010075378452952"	"138734"
"-1474010075378452952"	"134456"
"-1474010075378452952"	"136448"
"-1474010075378452952"	"136548"
"-1474010075378452952"	"124800"
"-1474010075378452952"	"123874"
"-1474010075378452952"	"124088"
"-1474010075378452952"	"125304"
"-1474010075378452952"	"122171"
"-1474010075378452952"	"122012"
"-1474010075378452952"	"121941"
"-1474010075378452952"	"123078"
"-1474010075378452952"	"123079"
"-1474010075378452952"	"129420"
"-1474010075378452952"	"127084"
"-1474010075378452952"	"126010"
"-1474010075378452952"	"127611"
"-1474010075378452952"	"127610"
"-1474010075378452952"	"127491"
"-1474010075378452952"	"94957"
"-1474010075378452952"	"94225"
"-1474010075378452952"	"94226"
"-1474010075378452952"	"95125"
"-1474010075378452952"	"92735"
"-1474010075378452952"	"92736"
"-1474010075378452952"	"96835"
"-1474010075378452952"	"96829"
"-1474010075378452952"	"81897"
"-1474010075378452952"	"82169"
"-1474010075378452952"	"82351"
"-1474010075378452952"	"83364"
"-1474010075378452952"	"81380"
"-1474010075378452952"	"86855"
"-1474010075378452952"	"84119"
"-1474010075378452952"	"84710"
"-1474010075378452952"	"89920"
"-1474010075378452952"	"89921"
"-1474010075378452952"	"104349"
"-1474010075378452952"	"104350"
"-1474010075378452952"	"109078"
"-1474010075378452952"	"109211"
"-1474010075378452952"	"109245"
"-1474010075378452952"	"106644"
"-1474010075378452952"	"106645"
"-1474010075378452952"	"106655"
"-1474010075378452952"	"106656"
"-1474010075378452952"	"107340"
"-1474010075378452952"	"99789"
"-1474010075378452952"	"99819"
"-1474010075378452952"	"99823"
"-1474010075378452952"	"98392"
"-1474010075378452952"	"98393"
"-1474010075378452952"	"98842"
"-1474010075378452952"	"98852"
"-1474010075378452952"	"98946"
"-1474010075378452952"	"98955"
"-1474010075378452952"	"98765"
"-1474010075378452952"	"98766"
"-1474010075378452952"	"98791"
"-1474010075378452952"	"103070"
"-1474010075378452952"	"103071"
"-1474010075378452952"	"102565"
"-1474010075378452952"	"176091"
"-1474010075378452952"	"176092"
"-1474010075378452952"	"170451"
"-1474010075378452952"	"169189"
"-1474010075378452952"	"169887"
"-1474010075378452952"	"172959"
"-1474010075378452952"	"183319"
"-1474010075378452952"	"183345"
"-1474010075378452952"	"183571"
"-1474010075378452952"	"182024"
"-1474010075378452952"	"181800"
"-1474010075378452952"	"183953"
"-1474010075378452952"	"179088"
"-1474010075378452952"	"179090"
"-1474010075378452952"	"178341"
"-1474010075378452952"	"181035"
"-1474010075378452952"	"181036"
"-1474010075378452952"	"181037"
"-1474010075378452952"	"180427"
"-1474010075378452952"	"146910"
"-1474010075378452952"	"153415"
"-1474010075378452952"	"154477"
"-1474010075378452952"	"151964"
"-1474010075378452952"	"141166"
"-1474010075378452952"	"141328"
"-1474010075378452952"	"142521"
"-1474010075378452952"	"142522"
"-1474010075378452952"	"139345"
"-1474010075378452952"	"140757"
"-1474010075378452952"	"145082"
"-1474010075378452952"	"145116"
"-1474010075378452952"	"146000"
"-1474010075378452952"	"144829"
"-1474010075378452952"	"143387"
"-1474010075378452952"	"143419"
"-1474010075378452952"	"143537"
"-1474010075378452952"	"144619"
"-1474010075378452952"	"143677"
"-1474010075378452952"	"143694"
"-1474010075378452952"	"143809"
"-1474010075378452952"	"143854"
"-1474010075378452952"	"143856"
"-1474010075378452952"	"143937"
"-1474010075378452952"	"164344"
"-1474010075378452952"	"164839"
"-1474010075378452952"	"163577"
"-1474010075378452952"	"167869"
"-1474010075378452952"	"165874"
"-1474010075378452952"	"166744"
"-1474010075378452952"	"158619"
"-1474010075378452952"	"156703"
"-1474010075378452952"	"159112"
"-1474010075378452952"	"159113"
"-1474010075378452952"	"159135"
"-1474010075378452952"	"32066"
"-1474010075378452952"	"37108"
"-1474010075378452952"	"36667"
"-1474010075378452952"	"36541"
"-1474010075378452952"	"36542"
"-1474010075378452952"	"24956"
"-1474010075378452952"	"25597"
"-1474010075378452952"	"44506"
"-1474010075378452952"	"44555"
"-1474010075378452952"	"47621"
"-1474010075378452952"	"40987"
"-1474010075378452952"	"39312"
"-1474010075378452952"	"39949"
"-1474010075378452952"	"39950"
"-1474010075378452952"	"43892"
"-1474010075378452952"	"43384"
"-1474010075378452952"	"6002"
"-1474010075378452952"	"6115"
"-1474010075378452952"	"9500"
"-1474010075378452952"	"9501"
"-1474010075378452952"	"8556"
"-1474010075378452952"	"3989"
"-1474010075378452952"	"3169"
"-1474010075378452952"	"2764"
"-1474010075378452952"	"3272"
"-1474010075378452952"	"3492"
"-1474010075378452952"	"17626"
"-1474010075378452952"	"20126"
"-1474010075378452952"	"20234"
"-1474010075378452952"	"12687"
"-1474010075378452952"	"11069"
"-1474010075378452952"	"14351"
"-1474010075378452952"	"58999"
"-1474010075378452952"	"49915"
"-1474010075378452952"	"49914"
"-1474010075378452952"	"60885"
"-1474010075378452952"	"52997"
"-1474010075378452952"	"53405"
"-1474010075378452952"	"53905"
"-1474010075378452952"	"53945"
"-1474010075378452952"	"53946"
"-1474010075378452952"	"52911"
"-1474010075378452952"	"56836"
"-1474010075378452952"	"76240"
"-1474010075378452952"	"76241"
"-1474010075378452952"	"74640"
"-1474010075378452952"	"74641"
"-1474010075378452952"	"77191"
"-1474010075378452952"	"78065"
"-1474010075378452952"	"72081"
"-1474010075378452952"	"73481"
"-1474010075378452952"	"132496"
"-1474010075378452952"	"137422"
"-1474010075378452952"	"110154"
"-1474010075378452952"	"28504"
"-1474010075378452952"	"32622"
"-1474010075378452952"	"112594"
"-1474010075378452952"	"42526"
"-1474010075378452952"	"115618"
"-1474010075378452952"	"98443"
"-1474010075378452952"	"121061"
"-1474010075378452952"	"154650"
"-1474010075378452952"	"152738"
"-1474010075378452952"	"114954"
"-1474010075378452952"	"154457"
"-1474010075378452952"	"147007"
"-1474010075378452952"	"114953"
"-1474010075378452952"	"130460"
"-1474010075378452952"	"130461"
"-1474010075378452952"	"130594"
"-1474010075378452952"	"184133"
"-1474010075378452952"	"136592"
"-1474010075378452952"	"84711"
"-1474010075378452952"	"92476"
"-1474010075378452952"	"137414"
"-1474010075378452952"	"95124"
"-1474010075378452952"	"112622"
"-1474010075378452952"	"2843"
"-1474010075378452952"	"71807"
"-1474010075378452952"	"10730"
"-1474010075378452952"	"152031"
"-1474010075378452952"	"180426"
"-1474010075378452952"	"181038"
"-1474010075378452952"	"153414"
"-1474010075378452952"	"36977"
"-1474010075378452952"	"178969"
"-1474010075378452952"	"98851"
"-1474010075378452952"	"70778"
"-1474010075378452952"	"179826"
"-1474010075378452952"	"98945"
"7989790464056543145"	"118229"
"7989790464056543145"	"118448"
"7989790464056543145"	"118449"
"7989790464056543145"	"132341"
"7989790464056543145"	"132340"
"7989790464056543145"	"130959"
"7989790464056543145"	"131756"
"7989790464056543145"	"131496"
"7989790464056543145"	"131497"
"7989790464056543145"	"138505"
"7989790464056543145"	"138504"
"7989790464056543145"	"138503"
"7989790464056543145"	"121815"
"7989790464056543145"	"128913"
"7989790464056543145"	"128914"
"7989790464056543145"	"93521"
"7989790464056543145"	"96695"
"7989790464056543145"	"90044"
"7989790464056543145"	"90045"
"7989790464056543145"	"90046"
"7989790464056543145"	"107355"
"7989790464056543145"	"107356"
"7989790464056543145"	"107357"
"7989790464056543145"	"98613"
"7989790464056543145"	"98614"
"7989790464056543145"	"178154"
"7989790464056543145"	"178155"
"7989790464056543145"	"178156"
"7989790464056543145"	"148847"
"7989790464056543145"	"146679"
"7989790464056543145"	"146680"
"7989790464056543145"	"151079"
"7989790464056543145"	"165250"
"7989790464056543145"	"165644"
"7989790464056543145"	"165645"
"7989790464056543145"	"158716"
"7989790464056543145"	"158409"
"7989790464056543145"	"33978"
"7989790464056543145"	"33979"
"7989790464056543145"	"29561"
"7989790464056543145"	"29562"
"7989790464056543145"	"23224"
"7989790464056543145"	"46424"
"7989790464056543145"	"46425"
"7989790464056543145"	"46426"
"7989790464056543145"	"43649"
"7989790464056543145"	"916"
"7989790464056543145"	"19732"
"7989790464056543145"	"21360"
"7989790464056543145"	"21361"
"7989790464056543145"	"50954"
"7989790464056543145"	"50953"
"7989790464056543145"	"60710"
"7989790464056543145"	"60709"
"7989790464056543145"	"54684"
"7989790464056543145"	"57433"
"7989790464056543145"	"64514"
"7989790464056543145"	"67122"
"7989790464056543145"	"79137"
"7989790464056543145"	"72264"
"7989790464056543145"	"72265"
"-6605193621902288169"	"118293"
"-6605193621902288169"	"137371"
"-6605193621902288169"	"122056"
"-6605193621902288169"	"122057"
"-6605193621902288169"	"122444"
"-6605193621902288169"	"128390"
"-6605193621902288169"	"128391"
"-6605193621902288169"	"128392"
"-6605193621902288169"	"93857"
"-6605193621902288169"	"93858"
"-6605193621902288169"	"87455"
"-6605193621902288169"	"87456"
"-6605193621902288169"	"89163"
"-6605193621902288169"	"89164"
"-6605193621902288169"	"104322"
"-6605193621902288169"	"107951"
"-6605193621902288169"	"107952"
"-6605193621902288169"	"102739"
"-6605193621902288169"	"177019"
"-6605193621902288169"	"173376"
"-6605193621902288169"	"172499"
"-6605193621902288169"	"172579"
"-6605193621902288169"	"172580"
"-6605193621902288169"	"183073"
"-6605193621902288169"	"183076"
"-6605193621902288169"	"183130"
"-6605193621902288169"	"183763"
"-6605193621902288169"	"181763"
"-6605193621902288169"	"181764"
"-6605193621902288169"	"184065"
"-6605193621902288169"	"179048"
"-6605193621902288169"	"168850"
"-6605193621902288169"	"168849"
"-6605193621902288169"	"150162"
"-6605193621902288169"	"150163"
"-6605193621902288169"	"154069"
"-6605193621902288169"	"153567"
"-6605193621902288169"	"145215"
"-6605193621902288169"	"144402"
"-6605193621902288169"	"144401"
"-6605193621902288169"	"168848"
"-6605193621902288169"	"165688"
"-6605193621902288169"	"165689"
"-6605193621902288169"	"160639"
"-6605193621902288169"	"160640"
"-6605193621902288169"	"160641"
"-6605193621902288169"	"34375"
"-6605193621902288169"	"24760"
"-6605193621902288169"	"24761"
"-6605193621902288169"	"25717"
"-6605193621902288169"	"28310"
"-6605193621902288169"	"28311"
"-6605193621902288169"	"44608"
"-6605193621902288169"	"38707"
"-6605193621902288169"	"43094"
"-6605193621902288169"	"43097"
"-6605193621902288169"	"706"
"-6605193621902288169"	"707"
"-6605193621902288169"	"11305"
"-6605193621902288169"	"11306"
"-6605193621902288169"	"50548"
"-6605193621902288169"	"50537"
"-6605193621902288169"	"50996"
"-6605193621902288169"	"50973"
"-6605193621902288169"	"50972"
"-6605193621902288169"	"50952"
"-6605193621902288169"	"60348"
"-6605193621902288169"	"60349"
"-6605193621902288169"	"60408"
"-6605193621902288169"	"50204"
"-6605193621902288169"	"50203"
"-6605193621902288169"	"57461"
"-6605193621902288169"	"57503"
"-6605193621902288169"	"57504"
"-6605193621902288169"	"67827"
"-6605193621902288169"	"67828"
"-6605193621902288169"	"49178"
"-6605193621902288169"	"73921"
"-6605193621902288169"	"63527"
"-6605193621902288169"	"104323"
"-4155367153969888648"	"112506"
"-4155367153969888648"	"110165"
"-4155367153969888648"	"137753"
"-4155367153969888648"	"137755"
"-4155367153969888648"	"137419"
"-4155367153969888648"	"121768"
"-4155367153969888648"	"128386"
"-4155367153969888648"	"128387"
"-4155367153969888648"	"128484"
"-4155367153969888648"	"126128"
"-4155367153969888648"	"94020"
"-4155367153969888648"	"94021"
"-4155367153969888648"	"88098"
"-4155367153969888648"	"88096"
"-4155367153969888648"	"90044"
"-4155367153969888648"	"90047"
"-4155367153969888648"	"98976"
"-4155367153969888648"	"98977"
"-4155367153969888648"	"98606"
"-4155367153969888648"	"98607"
"-4155367153969888648"	"175316"
"-4155367153969888648"	"175317"
"-4155367153969888648"	"183248"
"-4155367153969888648"	"183249"
"-4155367153969888648"	"183250"
"-4155367153969888648"	"185671"
"-4155367153969888648"	"178995"
"-4155367153969888648"	"180310"
"-4155367153969888648"	"180311"
"-4155367153969888648"	"180312"
"-4155367153969888648"	"148845"
"-4155367153969888648"	"150192"
"-4155367153969888648"	"147483"
"-4155367153969888648"	"147482"
"-4155367153969888648"	"150193"
"-4155367153969888648"	"152105"
"-4155367153969888648"	"144903"
"-4155367153969888648"	"142898"
"-4155367153969888648"	"164582"
"-4155367153969888648"	"158238"
"-4155367153969888648"	"158239"
"-4155367153969888648"	"157215"
"-4155367153969888648"	"157216"
"-4155367153969888648"	"157217"
"-4155367153969888648"	"35931"
"-4155367153969888648"	"35932"
"-4155367153969888648"	"35933"
"-4155367153969888648"	"25741"
"-4155367153969888648"	"25742"
"-4155367153969888648"	"42443"
"-4155367153969888648"	"6797"
"-4155367153969888648"	"6798"
"-4155367153969888648"	"6799"
"-4155367153969888648"	"2043"
"-4155367153969888648"	"2044"
"-4155367153969888648"	"3538"
"-4155367153969888648"	"15723"
"-4155367153969888648"	"15725"
"-4155367153969888648"	"60564"
"-4155367153969888648"	"60565"
"-4155367153969888648"	"57465"
"-4155367153969888648"	"57207"
"-4155367153969888648"	"66486"
"-4155367153969888648"	"66488"
"-4155367153969888648"	"79118"
"-4155367153969888648"	"186160"
"-880435081762619547"	"117050"
"-880435081762619547"	"117101"
"-880435081762619547"	"117102"
"-880435081762619547"	"117104"
"-880435081762619547"	"117162"
"-880435081762619547"	"117229"
"-880435081762619547"	"118114"
"-880435081762619547"	"118068"
"-880435081762619547"	"118055"
"-880435081762619547"	"111841"
"-880435081762619547"	"111842"
"-880435081762619547"	"111843"
"-880435081762619547"	"111845"
"-880435081762619547"	"111846"
"-880435081762619547"	"111847"
"-880435081762619547"	"111848"
"-880435081762619547"	"111849"
"-880435081762619547"	"111851"
"-880435081762619547"	"111857"
"-880435081762619547"	"111859"
"-880435081762619547"	"111839"
"-880435081762619547"	"111838"
"-880435081762619547"	"111836"
"-880435081762619547"	"110647"
"-880435081762619547"	"111646"
"-880435081762619547"	"93304"
"-880435081762619547"	"93327"
"-880435081762619547"	"93391"
"-880435081762619547"	"90939"
"-880435081762619547"	"91937"
"-880435081762619547"	"92004"
"-880435081762619547"	"105600"
"-880435081762619547"	"108040"
"-880435081762619547"	"106532"
"-880435081762619547"	"106601"
"-880435081762619547"	"106309"
"-880435081762619547"	"106447"
"-880435081762619547"	"98630"
"-880435081762619547"	"98633"
"-880435081762619547"	"98647"
"-880435081762619547"	"174689"
"-880435081762619547"	"174741"
"-880435081762619547"	"174478"
"-880435081762619547"	"174452"
"-880435081762619547"	"173150"
"-880435081762619547"	"172678"
"-880435081762619547"	"172690"
"-880435081762619547"	"172692"
"-880435081762619547"	"172694"
"-880435081762619547"	"172706"
"-880435081762619547"	"172710"
"-880435081762619547"	"172839"
"-880435081762619547"	"172697"
"-880435081762619547"	"172460"
"-880435081762619547"	"172462"
"-880435081762619547"	"172468"
"-880435081762619547"	"172475"
"-880435081762619547"	"172509"
"-880435081762619547"	"172510"
"-880435081762619547"	"172511"
"-880435081762619547"	"172512"
"-880435081762619547"	"172513"
"-880435081762619547"	"172514"
"-880435081762619547"	"172516"
"-880435081762619547"	"172523"
"-880435081762619547"	"172459"
"-880435081762619547"	"172458"
"-880435081762619547"	"172457"
"-880435081762619547"	"172456"
"-880435081762619547"	"172450"
"-880435081762619547"	"172451"
"-880435081762619547"	"172452"
"-880435081762619547"	"172454"
"-880435081762619547"	"172455"
"-880435081762619547"	"179195"
"-880435081762619547"	"179384"
"-880435081762619547"	"179760"
"-880435081762619547"	"179864"
"-880435081762619547"	"179890"
"-880435081762619547"	"179508"
"-880435081762619547"	"179510"
"-880435081762619547"	"177820"
"-880435081762619547"	"177607"
"-880435081762619547"	"178172"
"-880435081762619547"	"155742"
"-880435081762619547"	"79904"
"-880435081762619547"	"34720"
"-880435081762619547"	"46291"
"-880435081762619547"	"46293"
"-880435081762619547"	"44131"
"-880435081762619547"	"9774"
"-880435081762619547"	"9547"
"-880435081762619547"	"10033"
"-880435081762619547"	"2282"
"-880435081762619547"	"2286"
