"Proteins Unique Sequence ID"	"Peptide Groups Peptide Group ID"
"-3973589334991488607"	"118294"
"-3973589334991488607"	"110358"
"-3973589334991488607"	"110359"
"-3973589334991488607"	"134659"
"-3973589334991488607"	"134660"
"-3973589334991488607"	"134661"
"-3973589334991488607"	"124811"
"-3973589334991488607"	"124812"
"-3973589334991488607"	"124813"
"-3973589334991488607"	"122054"
"-3973589334991488607"	"122055"
"-3973589334991488607"	"122168"
"-3973589334991488607"	"122170"
"-3973589334991488607"	"126799"
"-3973589334991488607"	"126800"
"-3973589334991488607"	"93857"
"-3973589334991488607"	"93858"
"-3973589334991488607"	"89156"
"-3973589334991488607"	"81641"
"-3973589334991488607"	"81642"
"-3973589334991488607"	"91731"
"-3973589334991488607"	"104320"
"-3973589334991488607"	"104321"
"-3973589334991488607"	"102738"
"-3973589334991488607"	"172614"
"-3973589334991488607"	"172613"
"-3973589334991488607"	"183073"
"-3973589334991488607"	"183076"
"-3973589334991488607"	"183121"
"-3973589334991488607"	"183122"
"-3973589334991488607"	"181765"
"-3973589334991488607"	"179048"
"-3973589334991488607"	"179049"
"-3973589334991488607"	"148840"
"-3973589334991488607"	"148841"
"-3973589334991488607"	"148849"
"-3973589334991488607"	"149443"
"-3973589334991488607"	"150112"
"-3973589334991488607"	"150113"
"-3973589334991488607"	"146781"
"-3973589334991488607"	"147320"
"-3973589334991488607"	"147321"
"-3973589334991488607"	"147322"
"-3973589334991488607"	"154143"
"-3973589334991488607"	"154144"
"-3973589334991488607"	"153568"
"-3973589334991488607"	"150838"
"-3973589334991488607"	"150839"
"-3973589334991488607"	"150840"
"-3973589334991488607"	"152802"
"-3973589334991488607"	"152803"
"-3973589334991488607"	"152804"
"-3973589334991488607"	"144814"
"-3973589334991488607"	"144624"
"-3973589334991488607"	"144625"
"-3973589334991488607"	"143849"
"-3973589334991488607"	"163923"
"-3973589334991488607"	"163924"
"-3973589334991488607"	"165283"
"-3973589334991488607"	"166806"
"-3973589334991488607"	"166807"
"-3973589334991488607"	"166808"
"-3973589334991488607"	"24745"
"-3973589334991488607"	"24746"
"-3973589334991488607"	"25716"
"-3973589334991488607"	"44608"
"-3973589334991488607"	"44609"
"-3973589334991488607"	"46392"
"-3973589334991488607"	"46953"
"-3973589334991488607"	"39317"
"-3973589334991488607"	"38704"
"-3973589334991488607"	"38705"
"-3973589334991488607"	"2412"
"-3973589334991488607"	"2413"
"-3973589334991488607"	"2414"
"-3973589334991488607"	"11298"
"-3973589334991488607"	"11299"
"-3973589334991488607"	"11300"
"-3973589334991488607"	"15970"
"-3973589334991488607"	"50951"
"-3973589334991488607"	"60352"
"-3973589334991488607"	"57505"
"-3973589334991488607"	"57084"
"-3973589334991488607"	"57085"
"-3973589334991488607"	"67823"
"-3973589334991488607"	"67824"
"-3973589334991488607"	"49418"
"-3973589334991488607"	"49419"
"-3973589334991488607"	"146782"
"-3241887692250600056"	"117485"
"-3241887692250600056"	"116751"
"-3241887692250600056"	"119551"
"-3241887692250600056"	"118132"
"-3241887692250600056"	"118538"
"-3241887692250600056"	"112925"
"-3241887692250600056"	"112670"
"-3241887692250600056"	"112813"
"-3241887692250600056"	"112884"
"-3241887692250600056"	"114613"
"-3241887692250600056"	"114342"
"-3241887692250600056"	"114322"
"-3241887692250600056"	"132902"
"-3241887692250600056"	"132933"
"-3241887692250600056"	"132940"
"-3241887692250600056"	"132942"
"-3241887692250600056"	"132949"
"-3241887692250600056"	"133836"
"-3241887692250600056"	"133414"
"-3241887692250600056"	"130775"
"-3241887692250600056"	"130779"
"-3241887692250600056"	"131237"
"-3241887692250600056"	"131274"
"-3241887692250600056"	"137645"
"-3241887692250600056"	"138040"
"-3241887692250600056"	"138074"
"-3241887692250600056"	"137203"
"-3241887692250600056"	"138754"
"-3241887692250600056"	"138223"
"-3241887692250600056"	"138341"
"-3241887692250600056"	"134804"
"-3241887692250600056"	"134423"
"-3241887692250600056"	"136183"
"-3241887692250600056"	"136309"
"-3241887692250600056"	"136777"
"-3241887692250600056"	"124481"
"-3241887692250600056"	"123177"
"-3241887692250600056"	"129460"
"-3241887692250600056"	"129091"
"-3241887692250600056"	"129282"
"-3241887692250600056"	"110026"
"-3241887692250600056"	"94389"
"-3241887692250600056"	"92530"
"-3241887692250600056"	"92340"
"-3241887692250600056"	"95538"
"-3241887692250600056"	"96436"
"-3241887692250600056"	"88139"
"-3241887692250600056"	"88208"
"-3241887692250600056"	"88551"
"-3241887692250600056"	"88810"
"-3241887692250600056"	"89708"
"-3241887692250600056"	"108701"
"-3241887692250600056"	"108185"
