"Proteins Unique Sequence ID"	"Annotation Protein Groups Group ID"
"-2305783293341844831"	"7678"
"-2305783293341844831"	"4676"
"-2305783293341844831"	"5953"
"-2305783293341844831"	"297"
"-2305783293341844831"	"2746"
"-2305783293341844831"	"11241"
"-2305783293341844831"	"13040"
"-2305783293341844831"	"13042"
"-2305783293341844831"	"13033"
"-2305783293341844831"	"13035"
"-2305783293341844831"	"13038"
"-2305783293341844831"	"13041"
"-2305783293341844831"	"13036"
"-2305783293341844831"	"13037"
"-2305783293341844831"	"13039"
"-2305783293341844831"	"13043"
"-2305783293341844831"	"13044"
"-2305783293341844831"	"13034"
"-2305783293341844831"	"13045"
"3237045866174408172"	"16101"
"3237045866174408172"	"772"
"3237045866174408172"	"1652"
"3237045866174408172"	"9546"
"3237045866174408172"	"8906"
"3237045866174408172"	"7886"
"5950667386624240413"	"17444"
"5950667386624240413"	"9492"
"5950667386624240413"	"9491"
"5950667386624240413"	"4995"
"5950667386624240413"	"1998"
"5950667386624240413"	"12496"
"5950667386624240413"	"11729"
"5950667386624240413"	"9494"
"5950667386624240413"	"2306"
"5950667386624240413"	"717"
"5950667386624240413"	"17332"
"5950667386624240413"	"1142"
"5950667386624240413"	"14585"
"7133544339396982631"	"771"
"7133544339396982631"	"770"
"7133544339396982631"	"772"
"7133544339396982631"	"7840"
"7133544339396982631"	"12781"
"7133544339396982631"	"834"
"7133544339396982631"	"1877"
"7133544339396982631"	"2544"
"7133544339396982631"	"785"
"7133544339396982631"	"5559"
"682895518506643546"	"2687"
"682895518506643546"	"14843"
"682895518506643546"	"2699"
"682895518506643546"	"1955"
"682895518506643546"	"5044"
"682895518506643546"	"2693"
"682895518506643546"	"9025"
"682895518506643546"	"2695"
"682895518506643546"	"1962"
"682895518506643546"	"1946"
"682895518506643546"	"8897"
"682895518506643546"	"4963"
"682895518506643546"	"14840"
"682895518506643546"	"2259"
"682895518506643546"	"928"
"682895518506643546"	"4390"
"682895518506643546"	"297"
"682895518506643546"	"3508"
"682895518506643546"	"12032"
"3453697574232543386"	"12495"
"3453697574232543386"	"9491"
"3453697574232543386"	"4221"
"3453697574232543386"	"712"
"3453697574232543386"	"4995"
"3453697574232543386"	"13319"
"3453697574232543386"	"16202"
"3453697574232543386"	"2410"
"3453697574232543386"	"53"
"3453697574232543386"	"933"
"3453697574232543386"	"4308"
"3453697574232543386"	"15414"
"-66753491464337277"	"12495"
"-66753491464337277"	"9492"
"-66753491464337277"	"9491"
"-66753491464337277"	"741"
"-66753491464337277"	"3330"
"-66753491464337277"	"2831"
"-66753491464337277"	"2306"
"-66753491464337277"	"6908"
"-2039087024744643374"	"1652"
"-2039087024744643374"	"9546"
"-2039087024744643374"	"8906"
"-2039087024744643374"	"741"
"-2039087024744643374"	"7886"
"491541445040481155"	"770"
"491541445040481155"	"12610"
"491541445040481155"	"12315"
"491541445040481155"	"12608"
"491541445040481155"	"12609"
"491541445040481155"	"14752"
"491541445040481155"	"8330"
"491541445040481155"	"834"
"491541445040481155"	"14750"
"491541445040481155"	"2607"
"-1697710683789054711"	"770"
"-1697710683789054711"	"12781"
"-1697710683789054711"	"1998"
"-1697710683789054711"	"834"
"-1697710683789054711"	"2544"
"-1697710683789054711"	"785"
"-1697710683789054711"	"8486"
"-1518063030880020019"	"12495"
"-1518063030880020019"	"6606"
"-1518063030880020019"	"9516"
"-1518063030880020019"	"9491"
"-1518063030880020019"	"4221"
"-1518063030880020019"	"5008"
"-1518063030880020019"	"712"
"-1518063030880020019"	"4995"
"-1518063030880020019"	"13553"
"-1518063030880020019"	"6207"
"-1518063030880020019"	"485"
"-1518063030880020019"	"2410"
"-1518063030880020019"	"53"
"-1518063030880020019"	"933"
"-1518063030880020019"	"3058"
"-7115142250704838097"	"6605"
"-7115142250704838097"	"770"
"-7115142250704838097"	"5567"
"-7115142250704838097"	"3114"
"-7115142250704838097"	"834"
"-7115142250704838097"	"2544"
"-7115142250704838097"	"2077"
"-7115142250704838097"	"2147"
"-7115142250704838097"	"7665"
"-7115142250704838097"	"7664"
"4769002131436570839"	"10428"
"4769002131436570839"	"16834"
"4769002131436570839"	"16835"
"4769002131436570839"	"13863"
"4769002131436570839"	"7777"
"4769002131436570839"	"16836"
"4769002131436570839"	"5049"
"4769002131436570839"	"12914"
"4769002131436570839"	"15461"
"4769002131436570839"	"13710"
"4769002131436570839"	"16837"
"4769002131436570839"	"6293"
"4769002131436570839"	"11149"
"4769002131436570839"	"1093"
"8705476780399299386"	"10357"
"8705476780399299386"	"10587"
"8705476780399299386"	"4995"
"8705476780399299386"	"9154"
"8705476780399299386"	"4409"
"8705476780399299386"	"6645"
"8705476780399299386"	"8432"
"8705476780399299386"	"3130"
"8705476780399299386"	"1504"
"8705476780399299386"	"10358"
"8705476780399299386"	"1507"
"8705476780399299386"	"2306"
"8705476780399299386"	"36"
"8705476780399299386"	"1150"
"8705476780399299386"	"4746"
"6488855965708197639"	"17652"
"6488855965708197639"	"17653"
"6488855965708197639"	"17654"
"6488855965708197639"	"1170"
"6488855965708197639"	"742"
"6488855965708197639"	"5689"
"6488855965708197639"	"11430"
"6488855965708197639"	"12354"
"6488855965708197639"	"1166"
"6488855965708197639"	"53"
"6488855965708197639"	"297"
"6488855965708197639"	"17011"
"-4615289327887409645"	"1911"
"-4615289327887409645"	"1912"
"-4615289327887409645"	"1913"
"-4615289327887409645"	"1914"
"-4615289327887409645"	"9516"
"-4615289327887409645"	"2899"
"-4615289327887409645"	"485"
"-4615289327887409645"	"3053"
"-4615289327887409645"	"10955"
"-4615289327887409645"	"9207"
"-4615289327887409645"	"3571"
"-4615289327887409645"	"1910"
"-9167075430480271222"	"771"
"-9167075430480271222"	"770"
"-9167075430480271222"	"772"
"-9167075430480271222"	"785"
"-6590876033132119878"	"1300"
"-6590876033132119878"	"2812"
"-6590876033132119878"	"8584"
"-6590876033132119878"	"2813"
"-6590876033132119878"	"2843"
"-6590876033132119878"	"8586"
"-6590876033132119878"	"8585"
"5927523368410573672"	"17427"
"5927523368410573672"	"17428"
"5927523368410573672"	"17429"
"5927523368410573672"	"4380"
"5927523368410573672"	"4373"
"5927523368410573672"	"4369"
"5927523368410573672"	"4358"
"5927523368410573672"	"17439"
"5927523368410573672"	"6952"
"5927523368410573672"	"16940"
"5927523368410573672"	"2116"
"5927523368410573672"	"297"
"5927523368410573672"	"14030"
"5927523368410573672"	"17434"
"5927523368410573672"	"9006"
"5927523368410573672"	"17432"
"5927523368410573672"	"17435"
"5927523368410573672"	"17436"
"5927523368410573672"	"17425"
"5927523368410573672"	"17426"
"5927523368410573672"	"16626"
"-5144804986028249451"	"770"
"-5144804986028249451"	"5029"
"-5144804986028249451"	"7840"
"-5144804986028249451"	"4228"
"-5144804986028249451"	"1877"
"-5144804986028249451"	"5559"
"-1860543310075142412"	"1652"
"-1860543310075142412"	"2803"
"-1860543310075142412"	"1098"
"-1860543310075142412"	"6206"
"-1860543310075142412"	"7785"
"-1860543310075142412"	"4409"
"-1860543310075142412"	"13166"
"-1860543310075142412"	"4163"
"-1860543310075142412"	"15"
"-1860543310075142412"	"4143"
"-8293079878251606526"	"3027"
"-8293079878251606526"	"2699"
"-8293079878251606526"	"1955"
"-8293079878251606526"	"5044"
"-8293079878251606526"	"1946"
"-8293079878251606526"	"4320"
"-8293079878251606526"	"5049"
"-8293079878251606526"	"5040"
"-8293079878251606526"	"2259"
"-8293079878251606526"	"5051"
"-8293079878251606526"	"297"
"-8618995873066518476"	"771"
"-8618995873066518476"	"770"
"-8618995873066518476"	"772"
"-8618995873066518476"	"785"
"-8113893803591480288"	"771"
"-8113893803591480288"	"770"
"-8113893803591480288"	"772"
"-8113893803591480288"	"1652"
"-8113893803591480288"	"785"
"-8085176480319598229"	"5780"
"-8085176480319598229"	"5781"
"-8085176480319598229"	"5783"
"-8085176480319598229"	"5782"
"-8085176480319598229"	"5785"
"-772083225745130744"	"2687"
"-772083225745130744"	"9347"
"-772083225745130744"	"2791"
"-772083225745130744"	"12430"
"-772083225745130744"	"14011"
"-772083225745130744"	"14013"
"-772083225745130744"	"14014"
"-772083225745130744"	"14015"
"-772083225745130744"	"2699"
"-772083225745130744"	"742"
"-772083225745130744"	"2693"
"-772083225745130744"	"2695"
"-772083225745130744"	"1962"
"-772083225745130744"	"2356"
"-772083225745130744"	"1946"
"-772083225745130744"	"14009"
"-772083225745130744"	"4963"
"-772083225745130744"	"4447"
"-772083225745130744"	"6509"
"-772083225745130744"	"12351"
"-772083225745130744"	"3943"
"-772083225745130744"	"9685"
"-772083225745130744"	"2259"
"-772083225745130744"	"928"
"-772083225745130744"	"297"
"-772083225745130744"	"3571"
"-772083225745130744"	"14010"
"-772083225745130744"	"2955"
"8498450919961846637"	"4995"
"8498450919961846637"	"7840"
"8498450919961846637"	"1877"
"8498450919961846637"	"7072"
"8498450919961846637"	"9494"
"7198883007019988074"	"771"
"7198883007019988074"	"770"
"7198883007019988074"	"772"
"7198883007019988074"	"785"
"361994698644895597"	"14689"
"361994698644895597"	"14678"
"361994698644895597"	"3563"
"361994698644895597"	"1652"
"361994698644895597"	"13963"
"361994698644895597"	"1300"
"361994698644895597"	"8287"
"361994698644895597"	"10587"
"361994698644895597"	"13370"
"361994698644895597"	"14680"
"361994698644895597"	"4537"
"361994698644895597"	"6306"
"361994698644895597"	"14038"
"361994698644895597"	"14674"
"361994698644895597"	"14681"
"361994698644895597"	"14690"
"361994698644895597"	"834"
"361994698644895597"	"3589"
"361994698644895597"	"2813"
"361994698644895597"	"7186"
"361994698644895597"	"3634"
"361994698644895597"	"8290"
"361994698644895597"	"14677"
"361994698644895597"	"36"
"361994698644895597"	"3571"
"361994698644895597"	"5245"
"361994698644895597"	"10408"
"-2968462803591276191"	"771"
"-2968462803591276191"	"770"
"-2968462803591276191"	"772"
"-2968462803591276191"	"1652"
"-2968462803591276191"	"785"
"7521439039700903682"	"771"
"7521439039700903682"	"770"
"7521439039700903682"	"772"
"7521439039700903682"	"785"
"5561612098835552022"	"2687"
"5561612098835552022"	"2699"
"5561612098835552022"	"2693"
"5561612098835552022"	"2695"
"5561612098835552022"	"1962"
"5561612098835552022"	"1946"
"5561612098835552022"	"2259"
"5561612098835552022"	"928"
"5561612098835552022"	"297"
"5561612098835552022"	"9568"
"5561612098835552022"	"17260"
"986757703802447385"	"770"
"986757703802447385"	"2544"
"5362975432766664229"	"770"
"5362975432766664229"	"785"
"8176798073003434309"	"1652"
"8176798073003434309"	"13167"
"8176798073003434309"	"2803"
"8176798073003434309"	"13166"
"8176798073003434309"	"15"
"8176798073003434309"	"4143"
"621103420466231067"	"771"
"621103420466231067"	"770"
"621103420466231067"	"772"
"621103420466231067"	"785"
"5619484675981056092"	"14906"
"5619484675981056092"	"17270"
"5619484675981056092"	"2699"
"5619484675981056092"	"2693"
"5619484675981056092"	"1946"
"5619484675981056092"	"5923"
"5619484675981056092"	"10190"
"5619484675981056092"	"3273"
"5619484675981056092"	"4963"
"5619484675981056092"	"17271"
"5619484675981056092"	"7771"
"5619484675981056092"	"2259"
"5619484675981056092"	"1098"
"5619484675981056092"	"928"
"5619484675981056092"	"5456"
"5619484675981056092"	"12287"
"5619484675981056092"	"297"
"5619484675981056092"	"7661"
"5619484675981056092"	"2990"
"5619484675981056092"	"11366"
"5619484675981056092"	"17269"
"5619484675981056092"	"1281"
"5619484675981056092"	"1283"
"5619484675981056092"	"2713"
"5619484675981056092"	"1275"
"-7017874985935534894"	"7842"
"-7017874985935534894"	"7844"
"-7017874985935534894"	"7846"
"-7017874985935534894"	"742"
"-7017874985935534894"	"7838"
"-7017874985935534894"	"6606"
"-7017874985935534894"	"5029"
"-7017874985935534894"	"3330"
"-7017874985935534894"	"7841"
"-7017874985935534894"	"6357"
"-7017874985935534894"	"7840"
"-7017874985935534894"	"928"
"-7017874985935534894"	"485"
"-7017874985935534894"	"3747"
"-7017874985935534894"	"6205"
"-7065009906831580898"	"3027"
"-7065009906831580898"	"7744"
"-7065009906831580898"	"7753"
"-7065009906831580898"	"2699"
"-7065009906831580898"	"742"
"-7065009906831580898"	"7752"
"-7065009906831580898"	"2693"
"-7065009906831580898"	"7769"
"-7065009906831580898"	"7760"
"-7065009906831580898"	"1946"
"-7065009906831580898"	"4320"
"-7065009906831580898"	"7777"
"-7065009906831580898"	"5072"
"-7065009906831580898"	"4655"
"-7065009906831580898"	"7778"
"-7065009906831580898"	"2575"
"-7065009906831580898"	"7741"
"-7065009906831580898"	"7748"
"-7065009906831580898"	"304"
"-7065009906831580898"	"3188"
"-7065009906831580898"	"7771"
"-7065009906831580898"	"2259"
"-7065009906831580898"	"1098"
"-7065009906831580898"	"928"
"-7065009906831580898"	"4376"
"-7065009906831580898"	"2608"
"-7065009906831580898"	"2544"
"-7065009906831580898"	"7775"
"-7065009906831580898"	"3069"
"-7065009906831580898"	"7755"
"-7065009906831580898"	"7764"
"-7065009906831580898"	"53"
"-7065009906831580898"	"933"
"-7065009906831580898"	"297"
"-7065009906831580898"	"1202"
"-7065009906831580898"	"6723"
"-7065009906831580898"	"36"
"-7065009906831580898"	"5199"
"-7065009906831580898"	"4343"
"-7065009906831580898"	"7200"
"-7576515921520274560"	"2857"
"-7576515921520274560"	"5557"
"-7576515921520274560"	"6856"
"5815926444524445653"	"10878"
"5815926444524445653"	"7520"
"5815926444524445653"	"10877"
"5815926444524445653"	"4221"
"5815926444524445653"	"5822"
"5815926444524445653"	"4745"
"5815926444524445653"	"297"
"5815926444524445653"	"2306"
"5815926444524445653"	"8513"
"-3028691531671689044"	"12437"
"-3028691531671689044"	"12438"
"-3028691531671689044"	"8615"
"-3028691531671689044"	"8614"
"-8226351996113547688"	"5323"
"-8226351996113547688"	"2812"
"-8226351996113547688"	"2813"
"-4288023909312929848"	"11326"
"-4288023909312929848"	"11327"
"-4288023909312929848"	"742"
"-4288023909312929848"	"4568"
"-4288023909312929848"	"928"
"-4288023909312929848"	"1439"
"-2220837361715177214"	"3027"
"-2220837361715177214"	"13118"
"-2220837361715177214"	"2699"
"-2220837361715177214"	"742"
"-2220837361715177214"	"7752"
"-2220837361715177214"	"1946"
"-2220837361715177214"	"4320"
"-2220837361715177214"	"7777"
"-2220837361715177214"	"5072"
"-2220837361715177214"	"7778"
"-2220837361715177214"	"9116"
"-2220837361715177214"	"3188"
"-2220837361715177214"	"7771"
"-2220837361715177214"	"2259"
"-2220837361715177214"	"1098"
"-2220837361715177214"	"928"
"-2220837361715177214"	"4376"
"-2220837361715177214"	"2608"
"-2220837361715177214"	"7764"
"-2220837361715177214"	"53"
"-2220837361715177214"	"297"
"-2220837361715177214"	"6071"
"-2220837361715177214"	"534"
"-2220837361715177214"	"6723"
"-2220837361715177214"	"13119"
"-2220837361715177214"	"4343"
"-2220837361715177214"	"6703"
"733334629432108356"	"8768"
"733334629432108356"	"9543"
"733334629432108356"	"13811"
"733334629432108356"	"14871"
"733334629432108356"	"5395"
"733334629432108356"	"5394"
"733334629432108356"	"14867"
"733334629432108356"	"1150"
"733334629432108356"	"1001"
"733334629432108356"	"14868"
"-2158743068394578481"	"13147"
"-2158743068394578481"	"10508"
"-2158743068394578481"	"11393"
"-2158743068394578481"	"13146"
"-2158743068394578481"	"1166"
"-2158743068394578481"	"13143"
"-2158743068394578481"	"53"
"-2158743068394578481"	"13142"
"-2158743068394578481"	"13144"
"3945672141617060885"	"16481"
"-7057642348640183550"	"3335"
"-7057642348640183550"	"7786"
"-7057642348640183550"	"7784"
"-7057642348640183550"	"4963"
"-7057642348640183550"	"712"
"-7057642348640183550"	"5376"
"-7057642348640183550"	"7785"
"5579729439990208910"	"1164"
"5579729439990208910"	"1170"
"5579729439990208910"	"1163"
"5579729439990208910"	"1165"
"5579729439990208910"	"1167"
"5579729439990208910"	"13370"
"5579729439990208910"	"10538"
"5579729439990208910"	"8159"
"5579729439990208910"	"1166"
"5579729439990208910"	"53"
"5579729439990208910"	"10043"
"5579729439990208910"	"717"
"5579729439990208910"	"4740"
"844941694654797990"	"13563"
"844941694654797990"	"11397"
"844941694654797990"	"14912"
"844941694654797990"	"742"
"844941694654797990"	"10639"
"844941694654797990"	"1652"
"844941694654797990"	"6606"
"844941694654797990"	"14788"
"844941694654797990"	"3330"
"844941694654797990"	"4718"
"844941694654797990"	"7841"
"844941694654797990"	"12203"
"844941694654797990"	"4409"
"844941694654797990"	"7755"
"844941694654797990"	"53"
"844941694654797990"	"13532"
"844941694654797990"	"4164"
"844941694654797990"	"5559"
"-7661195779620978483"	"1652"
"-7661195779620978483"	"5780"
"-7661195779620978483"	"5781"
"-7661195779620978483"	"5783"
"-7661195779620978483"	"5782"
"-7661195779620978483"	"6604"
"-174490317750568225"	"8100"
"-174490317750568225"	"14326"
"-174490317750568225"	"14327"
"-174490317750568225"	"14329"
"-174490317750568225"	"2411"
"-174490317750568225"	"3006"
"-174490317750568225"	"2994"
"-174490317750568225"	"2421"
"-174490317750568225"	"5072"
"-174490317750568225"	"6143"
"-174490317750568225"	"11490"
"-174490317750568225"	"2422"
"-174490317750568225"	"12177"
"-174490317750568225"	"2997"
"-174490317750568225"	"3007"
"-174490317750568225"	"14331"
"-174490317750568225"	"834"
"-174490317750568225"	"2402"
"-174490317750568225"	"11921"
"-174490317750568225"	"297"
"-174490317750568225"	"1162"
"-174490317750568225"	"5393"
"-174490317750568225"	"10920"
"-174490317750568225"	"5388"
"-8150015609920896545"	"5558"
"-8150015609920896545"	"5567"
"-8150015609920896545"	"5561"
"-8150015609920896545"	"5563"
"-8150015609920896545"	"5565"
"-8150015609920896545"	"785"
"-8150015609920896545"	"3795"
"-8150015609920896545"	"36"
"-8150015609920896545"	"5559"
"8369123714013872102"	"2786"
"8369123714013872102"	"123"
"2402053168044673171"	"3132"
"2402053168044673171"	"3133"
"2402053168044673171"	"15669"
"2402053168044673171"	"3166"
"2402053168044673171"	"1583"
"2402053168044673171"	"15671"
"2402053168044673171"	"3168"
"2402053168044673171"	"297"
"2151926267082362024"	"4802"
"2151926267082362024"	"4803"
"2151926267082362024"	"4805"
"2151926267082362024"	"4808"
"2151926267082362024"	"4806"
"2151926267082362024"	"4799"
"2151926267082362024"	"4804"
"2151926267082362024"	"2813"
"2399497510241032173"	"3132"
"2399497510241032173"	"3133"
"2399497510241032173"	"15669"
"2399497510241032173"	"15668"
"2399497510241032173"	"3166"
"2399497510241032173"	"1583"
"2399497510241032173"	"15671"
"2399497510241032173"	"5203"
"2399497510241032173"	"2259"
"2399497510241032173"	"7927"
"2399497510241032173"	"297"
"2399497510241032173"	"10280"
"-9169618704545618170"	"668"
"-9169618704545618170"	"671"
"-9169618704545618170"	"742"
"-9169618704545618170"	"711"
"-9169618704545618170"	"734"
"-9169618704545618170"	"741"
"-9169618704545618170"	"712"
"-9169618704545618170"	"729"
"-9169618704545618170"	"726"
"-9169618704545618170"	"698"
"-9169618704545618170"	"717"
"562319574892213792"	"13753"
"562319574892213792"	"13951"
"562319574892213792"	"13952"
"562319574892213792"	"13953"
"562319574892213792"	"14134"
"562319574892213792"	"14790"
"562319574892213792"	"7777"
"562319574892213792"	"14789"
"562319574892213792"	"1098"
"-6948099861594568888"	"7964"
"-6948099861594568888"	"7966"
"-6948099861594568888"	"7965"
"-6948099861594568888"	"7968"
"-6948099861594568888"	"7973"
"-6948099861594568888"	"7972"
"-6948099861594568888"	"7983"
"-6948099861594568888"	"7978"
"-6948099861594568888"	"6564"
"-6948099861594568888"	"7988"
"-6948099861594568888"	"7967"
"-6948099861594568888"	"7969"
"-6948099861594568888"	"7977"
"-6948099861594568888"	"297"
"-6948099861594568888"	"7196"
"-6948099861594568888"	"7982"
"-6948099861594568888"	"3508"
"-9059852176619998838"	"1652"
"-9059852176619998838"	"785"
"-9059852176619998838"	"1653"
"-9059852176619998838"	"1654"
"-9059852176619998838"	"1651"
"2749950876556130584"	"2687"
"2749950876556130584"	"9347"
"2749950876556130584"	"2699"
"2749950876556130584"	"742"
"2749950876556130584"	"2693"
"2749950876556130584"	"2695"
"2749950876556130584"	"1962"
"2749950876556130584"	"1946"
"2749950876556130584"	"14009"
"2749950876556130584"	"5773"
"2749950876556130584"	"2259"
"2749950876556130584"	"1098"
"2749950876556130584"	"928"
"2749950876556130584"	"2843"
"2749950876556130584"	"2116"
"2749950876556130584"	"9953"
"2749950876556130584"	"297"
"2749950876556130584"	"1053"
"2749950876556130584"	"8190"
"2749950876556130584"	"1285"
"2749950876556130584"	"15859"
"2749950876556130584"	"4343"
"2749950876556130584"	"10644"
"2749950876556130584"	"4681"
"-5062792901890915106"	"10443"
"-5062792901890915106"	"10434"
"-5062792901890915106"	"10445"
"-5062792901890915106"	"7857"
"-5062792901890915106"	"6167"
"-5062792901890915106"	"10438"
"-5062792901890915106"	"10442"
"-5062792901890915106"	"10444"
"-5062792901890915106"	"10448"
"-5062792901890915106"	"6723"
"3819136565778515185"	"742"
"3819136565778515185"	"1102"
"3819136565778515185"	"13392"
"3819136565778515185"	"1103"
"3819136565778515185"	"1100"
"3819136565778515185"	"13393"
"3819136565778515185"	"13391"
"3819136565778515185"	"304"
"3819136565778515185"	"8190"
"-5793722554403523201"	"9555"
"-5793722554403523201"	"9556"
"-5793722554403523201"	"9557"
"-5793722554403523201"	"9558"
"-5793722554403523201"	"9559"
"-5793722554403523201"	"742"
"-1213395878895108528"	"7707"
"-1213395878895108528"	"13485"
"-1213395878895108528"	"13476"
"-1213395878895108528"	"13479"
"-1213395878895108528"	"7700"
"-1213395878895108528"	"9301"
"-1213395878895108528"	"36"
"-1213395878895108528"	"13478"
"-1213395878895108528"	"13477"
"-1213395878895108528"	"1910"
"-1213395878895108528"	"9285"
"2564632356119292656"	"15752"
"8364348392468163032"	"18254"
"8364348392468163032"	"18255"
"8364348392468163032"	"18257"
"8364348392468163032"	"18259"
"8364348392468163032"	"742"
"8364348392468163032"	"8691"
"8364348392468163032"	"53"
"8364348392468163032"	"17575"
"8364348392468163032"	"18256"
"8364348392468163032"	"1053"
"8364348392468163032"	"1483"
"8364348392468163032"	"4575"
"7054273267636823051"	"5683"
"7054273267636823051"	"17824"
"7054273267636823051"	"17825"
"7054273267636823051"	"17832"
"7054273267636823051"	"5680"
"7054273267636823051"	"6263"
"7054273267636823051"	"6496"
"7054273267636823051"	"6284"
"7054273267636823051"	"12597"
"7054273267636823051"	"5689"
"7054273267636823051"	"12047"
"7054273267636823051"	"10209"
"7054273267636823051"	"4105"
"7054273267636823051"	"17831"
"7054273267636823051"	"4113"
"7054273267636823051"	"14340"
"7054273267636823051"	"5984"
"7054273267636823051"	"4668"
"7054273267636823051"	"7429"
"7054273267636823051"	"3671"
"7054273267636823051"	"4134"
"7054273267636823051"	"8358"
"7054273267636823051"	"17772"
"7054273267636823051"	"17826"
"7054273267636823051"	"17833"
"7054273267636823051"	"2977"
"7054273267636823051"	"4107"
"7054273267636823051"	"2259"
"7054273267636823051"	"4135"
"7054273267636823051"	"5456"
"7054273267636823051"	"3069"
"7054273267636823051"	"297"
"7054273267636823051"	"9851"
"7054273267636823051"	"9849"
"7054273267636823051"	"17827"
"7054273267636823051"	"17829"
"7054273267636823051"	"1053"
"7054273267636823051"	"1287"
"7054273267636823051"	"10073"
"7054273267636823051"	"11366"
"7054273267636823051"	"14315"
"7054273267636823051"	"17828"
"7054273267636823051"	"1283"
