"Proteins Unique Sequence ID"	"Annotation Protein Groups Group ID"
"-3973589334991488607"	"771"
"-3973589334991488607"	"11542"
"-3973589334991488607"	"770"
"-3973589334991488607"	"742"
"-3973589334991488607"	"772"
"-3973589334991488607"	"1652"
"-3973589334991488607"	"7859"
"-3973589334991488607"	"4537"
"-3973589334991488607"	"7886"
"-3973589334991488607"	"1595"
"-3973589334991488607"	"785"
"-3973589334991488607"	"11543"
"-3241887692250600056"	"5558"
"-3241887692250600056"	"12263"
"-3241887692250600056"	"12264"
"-3241887692250600056"	"9642"
"-3241887692250600056"	"7520"
"-3241887692250600056"	"5561"
"-3241887692250600056"	"6357"
"-3241887692250600056"	"4995"
"-3241887692250600056"	"7840"
"-3241887692250600056"	"12269"
"-3241887692250600056"	"7886"
"-3241887692250600056"	"11879"
"-3241887692250600056"	"4228"
"-3241887692250600056"	"1877"
"-3241887692250600056"	"485"
"-3241887692250600056"	"9494"
"-3241887692250600056"	"1059"
"-3241887692250600056"	"3073"
"-1474010075378452952"	"5558"
"-1474010075378452952"	"12263"
"-1474010075378452952"	"13563"
"-1474010075378452952"	"12264"
"-1474010075378452952"	"1652"
"-1474010075378452952"	"6606"
"-1474010075378452952"	"2803"
"-1474010075378452952"	"2859"
"-1474010075378452952"	"2544"
"-1474010075378452952"	"36"
"-1474010075378452952"	"13532"
"7989790464056543145"	"770"
"7989790464056543145"	"785"
"-6605193621902288169"	"771"
"-6605193621902288169"	"770"
"-6605193621902288169"	"772"
"-6605193621902288169"	"1652"
"-6605193621902288169"	"8565"
"-6605193621902288169"	"8564"
"-6605193621902288169"	"785"
"-6605193621902288169"	"7882"
"-4155367153969888648"	"770"
"-4155367153969888648"	"772"
"-4155367153969888648"	"1652"
"-4155367153969888648"	"7859"
"-4155367153969888648"	"1595"
"-4155367153969888648"	"785"
"-880435081762619547"	"13963"
"-880435081762619547"	"10587"
"-880435081762619547"	"7840"
"-5798091253452066801"	"1652"
"-5798091253452066801"	"9546"
"-5798091253452066801"	"1300"
"-5798091253452066801"	"8906"
"-5798091253452066801"	"7886"
"-6086246065885053041"	"770"
"-6086246065885053041"	"5567"
"-6086246065885053041"	"1652"
"-6086246065885053041"	"785"
"8006254010702621328"	"770"
"8006254010702621328"	"1652"
"8006254010702621328"	"8565"
"8006254010702621328"	"7886"
"-3688625229951110619"	"771"
"-3688625229951110619"	"11857"
"-3688625229951110619"	"770"
"-3688625229951110619"	"772"
"-3688625229951110619"	"785"
"-1053149387799816631"	"771"
"-1053149387799816631"	"770"
"-1053149387799816631"	"772"
"-1053149387799816631"	"785"
"-3690320084066520669"	"771"
"-3690320084066520669"	"770"
"-3690320084066520669"	"772"
"-3690320084066520669"	"785"
"8736083768290238180"	"771"
"8736083768290238180"	"18416"
"8736083768290238180"	"770"
"8736083768290238180"	"772"
"8736083768290238180"	"2544"
"8736083768290238180"	"785"
"5631363744109016659"	"770"
"5631363744109016659"	"1652"
"5631363744109016659"	"785"
"5631363744109016659"	"5785"
"-4567547795878987385"	"5623"
"-4567547795878987385"	"2962"
"-4567547795878987385"	"4995"
"-4567547795878987385"	"2859"
"-4567547795878987385"	"1098"
"-4567547795878987385"	"3247"
"-4567547795878987385"	"7072"
"-4567547795878987385"	"7755"
"-4567547795878987385"	"4310"
"-4567547795878987385"	"53"
"-4567547795878987385"	"933"
"-4567547795878987385"	"10987"
"-4567547795878987385"	"10990"
"-4567547795878987385"	"1507"
"-4567547795878987385"	"3075"
"-4567547795878987385"	"7009"
"-4567547795878987385"	"6205"
"-4567547795878987385"	"10986"
"-4567547795878987385"	"10984"
"-4567547795878987385"	"10997"
"-4567547795878987385"	"5941"
"-4567547795878987385"	"10985"
"2962281166201317424"	"10878"
"2962281166201317424"	"14066"
"2962281166201317424"	"5203"
"2962281166201317424"	"3569"
"2962281166201317424"	"10877"
"2962281166201317424"	"4221"
"2962281166201317424"	"5822"
"2962281166201317424"	"15983"
"2962281166201317424"	"15982"
"2962281166201317424"	"15984"
"2962281166201317424"	"4745"
"2962281166201317424"	"3905"
"2962281166201317424"	"485"
"2962281166201317424"	"3053"
"2962281166201317424"	"53"
"2962281166201317424"	"297"
"2962281166201317424"	"3058"
"2962281166201317424"	"2306"
"2962281166201317424"	"6990"
"2962281166201317424"	"11481"
"3650651295291502810"	"4221"
"3650651295291502810"	"4995"
"3650651295291502810"	"7072"
"-2305783293341844831"	"13046"
"-2305783293341844831"	"4677"
"-2305783293341844831"	"1300"
