"Input Files Workflow ID"	"Input Files Workflow Level"	"Input Files "	"File ID"	"File Name"	"Creation Date"	"RT Range in min"	"Instrument Name"	"Software Revision"	"Ref File ID"	"Max Mass in Da"
"-116"	"1"	"940"	"F1"	"Y:\2023\3\Payne_organoids\blank_CH1_R5.raw"	"3/24/2023 5:46:56 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"4930.55273"
"-116"	"1"	"941"	"F2"	"Y:\2023\3\Payne_organoids\blank_CH2_R5.raw"	"3/24/2023 7:01:03 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"4195.34375"
"-116"	"1"	"942"	"F3"	"Y:\2023\3\Payne_organoids\HFL1boost_Healthy_CH1_F18.raw"	"3/25/2023 6:04:00 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6037.60059"
"-116"	"1"	"943"	"F4"	"Y:\2023\3\Payne_organoids\HFL1boost_Healthy_CH2_F16.raw"	"3/25/2023 9:44:57 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	""	"6159.07080"
"-116"	"1"	"944"	"F5"	"Y:\2023\3\Payne_organoids\HFL1boost_Healthy_CH2_F17.raw"	"3/25/2023 7:17:38 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6160.06738"
"-116"	"1"	"945"	"F6"	"Y:\2023\3\Payne_organoids\HFL1boost_Unhealthy_CH1_H16.raw"	"3/25/2023 1:09:22 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6335.56104"
"-116"	"1"	"946"	"F7"	"Y:\2023\3\Payne_organoids\HFL1boost_Unhealthy_CH1_H18.raw"	"3/24/2023 8:14:43 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6037.60254"
"-116"	"1"	"947"	"F8"	"Y:\2023\3\Payne_organoids\HFL1boost_Unhealthy_CH2_H17.raw"	"3/25/2023 2:23:00 AM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6335.54248"
"-116"	"1"	"948"	"F9"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Healthy_CH1_B2_bad.raw"	"3/29/2023 8:17:34 AM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6426.29639"
"-116"	"1"	"949"	"F10"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Healthy_CH1_D2_bad.raw"	"3/29/2023 10:44:45 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6357.09961"
"-116"	"1"	"950"	"F11"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Healthy_CH1_E3_bad.raw"	"3/30/2023 12:45:41 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6392.82813"
"-116"	"1"	"951"	"F12"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Healthy_CH1_H4.raw"	"3/30/2023 10:34:32 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6162.08594"
"-116"	"1"	"952"	"F13"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Healthy_CH1_I3.raw"	"3/30/2023 5:40:04 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6353.53662"
"-116"	"1"	"953"	"F14"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Healthy_CH2_C2.raw"	"3/29/2023 4:36:47 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6385.19189"
"-116"	"1"	"954"	"F15"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Healthy_CH2_E2.raw"	"3/29/2023 2:09:36 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6162.09619"
"-116"	"1"	"955"	"F16"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Healthy_CH2_F2.raw"	"3/28/2023 11:42:26 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6161.06836"
"-116"	"1"	"956"	"F17"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Healthy_CH2_G2.raw"	"3/28/2023 6:48:00 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6401.49707"
"-116"	"1"	"957"	"F18"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Healthy_CH2_H2.raw"	"3/28/2023 4:20:47 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6399.99170"
"-116"	"1"	"958"	"F19"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Healthy_CH2_J2.raw"	"3/29/2023 7:03:58 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6332.10547"
"-116"	"1"	"959"	"F20"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Healthy_CH2_K2_bad.raw"	"3/28/2023 9:15:11 PM"	"0.00 - 65.01"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6373.06885"
"-116"	"1"	"960"	"F21"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Healthy_CH2_K3.raw"	"3/30/2023 9:20:55 AM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6329.54834"
"-116"	"1"	"961"	"F22"	"Y:\2023\3\Payne_organoids\HFL1SC_2_Unhealthy_CH1_B5.raw"	"3/28/2023 5:34:24 PM"	"0.00 - 65.00"	"Orbitrap Exploris Slot #0081"	"4.1-4.1.292.16/4.1.335.19"	"F4"	"6367.87549"
