"Peptide Groups Peptide Group ID"	"Consensus Features "
"117569"	"228059"
"117569"	"383207"
"117624"	"321387"
"117630"	"378708"
"117631"	"297711"
"117631"	"471623"
"117638"	"202252"
"117656"	"320808"
"117657"	"336077"
"117670"	"387786"
"117670"	"387787"
"117681"	"383963"
"117684"	"369546"
"117692"	"218072"
"117617"	"141670"
"117617"	"313569"
"116981"	"411740"
"116973"	"330337"
"116973"	"484940"
"116933"	"250222"
"116156"	"483244"
"116158"	"14547"
"116158"	"14549"
"116158"	"14713"
"116158"	"237554"
"116158"	"237555"
"116158"	"237556"
"116158"	"237557"
"116158"	"237558"
"116158"	"237675"
"116158"	"237677"
"116158"	"237678"
"116158"	"237683"
"116158"	"237685"
"116158"	"237687"
"116158"	"237788"
"116158"	"436290"
"116158"	"436356"
"116158"	"436361"
"116208"	"247960"
"116208"	"247961"
"116208"	"247963"
"116208"	"247966"
"116208"	"247968"
"116208"	"399912"
"116208"	"399914"
"116210"	"331087"
"116210"	"331088"
"116210"	"331090"
"116210"	"331093"
"116210"	"331151"
"116216"	"344858"
"116218"	"226233"
"116245"	"268374"
"116268"	"371492"
"116268"	"498875"
"116280"	"239961"
"116295"	"193542"
"116297"	"302261"
"116340"	"481822"
"116346"	"243214"
"116360"	"194387"
"116379"	"249328"
"116384"	"259171"
"116387"	"334650"
"116388"	"329296"
"116403"	"384060"
"116405"	"304079"
"116410"	"468126"
"116411"	"328011"
"116412"	"331857"
"116415"	"487283"
"116415"	"487284"
"116136"	"314124"
"116118"	"359167"
"116100"	"332469"
"116096"	"237782"
"115809"	"332216"
"115818"	"397915"
"115836"	"167065"
"115854"	"58265"
"115854"	"58545"
"115854"	"58546"
"115854"	"58547"
"115854"	"58548"
"115854"	"58549"
"115854"	"58550"
"115854"	"58551"
"115854"	"58552"
"115854"	"58553"
"115854"	"58834"
"115854"	"58836"
"115854"	"58839"
"115854"	"58840"
"115854"	"58841"
"115854"	"58842"
"115854"	"58843"
"115854"	"58844"
"115854"	"58845"
"115854"	"58846"
"115854"	"58847"
"115854"	"59062"
"115854"	"59063"
"115854"	"59064"
"115854"	"59065"
"115854"	"59066"
"115854"	"59069"
"115854"	"59072"
"115854"	"59073"
"115854"	"59279"
"115854"	"59292"
"115854"	"59443"
"115855"	"425049"
"115866"	"428944"
"115903"	"452156"
"115904"	"507681"
"115905"	"465779"
"115907"	"407870"
"115918"	"314052"
"116416"	"419630"
"116416"	"419632"
"116416"	"512755"
"115921"	"358262"
"115966"	"399524"
"115996"	"225138"
"115996"	"225139"
"115996"	"225142"
"116000"	"114370"
"116011"	"260212"
"116011"	"260213"
"116012"	"134884"
"116012"	"370228"
"116014"	"143896"
"116026"	"231742"
"116043"	"197288"
"116047"	"177361"
"116048"	"334474"
"116048"	"334564"
"116061"	"199386"
"116072"	"342861"
"116078"	"482481"
"115931"	"104007"
"116433"	"360000"
"116455"	"386576"
"116731"	"457105"
"116732"	"312213"
"116735"	"335987"
"116738"	"422511"
"116740"	"367177"
"116748"	"355784"
"116748"	"355785"
"116748"	"355786"
"116748"	"355788"
"116748"	"355789"
"116748"	"355790"
"116748"	"355791"
"116751"	"208057"
"116760"	"314984"
"116771"	"345548"
"116771"	"345549"
"116793"	"407097"
"116807"	"273400"
"116809"	"179673"
"116818"	"317856"
"116857"	"332996"
"116857"	"332997"
"116857"	"332998"
"116869"	"484487"
"116873"	"364061"
"116891"	"213993"
"116894"	"247736"
"116905"	"395774"
"116912"	"414113"
"116915"	"372198"
"116916"	"203674"
"116926"	"207570"
"116926"	"415674"
"116926"	"415712"
"116927"	"311099"
"116928"	"202667"
"116730"	"244766"
"116721"	"447974"
"116478"	"492218"
"116496"	"320964"
"116533"	"428523"
"116536"	"389733"
"116539"	"334711"
"116572"	"422926"
"116581"	"344041"
"116588"	"250163"
"116592"	"441083"
"116593"	"463023"
"116435"	"263667"
"116604"	"280513"
"116604"	"280514"
"116604"	"280515"
"116630"	"451558"
"116633"	"359674"
"116633"	"493915"
"116636"	"270305"
"116636"	"457346"
"116639"	"293418"
"116641"	"314930"
"116651"	"175956"
"116663"	"194428"
"116670"	"179251"
"116677"	"291929"
"116678"	"246040"
"116693"	"252802"
"116693"	"446443"
"116707"	"279757"
"116601"	"412158"
"117891"	"226128"
"117907"	"226906"
"119421"	"301429"
"119421"	"473572"
"119440"	"456971"
"119526"	"490512"
"119531"	"244065"
"119551"	"263356"
"119607"	"402925"
"119628"	"423251"
"119647"	"423966"
"119668"	"314931"
"119672"	"305124"
"119674"	"231821"
"119781"	"426520"
"119823"	"307745"
"119826"	"261747"
"119848"	"241979"
"119853"	"500780"
"119853"	"500782"
"119856"	"487869"
"119857"	"497170"
"119890"	"470639"
"119915"	"297557"
"119952"	"244598"
"119989"	"215810"
"119418"	"225744"
"119394"	"407904"
"118910"	"144608"
"118949"	"202240"
"118960"	"452673"
"118960"	"452674"
"118961"	"242664"
"118961"	"242756"
"118982"	"419155"
"118996"	"337582"
"119027"	"421444"
"119042"	"373708"
"119059"	"368793"
"119059"	"368794"
"119060"	"380015"
"119106"	"104212"
"119106"	"104213"
"119126"	"277261"
"119147"	"260974"
"119201"	"269827"
"119241"	"434687"
"119257"	"417480"
"119257"	"417484"
"119285"	"382119"
"119323"	"491974"
"119351"	"189685"
"119351"	"189688"
"118907"	"486872"
"120058"	"477912"
"120091"	"216089"
"120868"	"128529"
"120869"	"335433"
"120875"	"423083"
"120880"	"117454"
"120880"	"359550"
"120889"	"376839"
"120906"	"286455"
"120906"	"465747"
"120917"	"470076"
"120935"	"282690"
"120939"	"167624"
"120970"	"302287"
"121011"	"365184"
"121048"	"282809"
"121048"	"282815"
"121048"	"420960"
"121062"	"422101"
"121079"	"358194"
"121090"	"186442"
"121094"	"172806"
"121094"	"172807"
"121095"	"377327"
"121139"	"189385"
"121231"	"411728"
"121234"	"308062"
"121234"	"476651"
"121241"	"271100"
"121303"	"319532"
"121314"	"319452"
"121364"	"336087"
"121364"	"336088"
"120864"	"171927"
"120861"	"337715"
"120847"	"333366"
"120102"	"457996"
"120123"	"404911"
"120131"	"264727"
"120170"	"303732"
"120188"	"221997"
"120241"	"454177"
"120243"	"227165"
"120243"	"428431"
"120256"	"421933"
"120277"	"243792"
"120289"	"447677"
"120306"	"380194"
"120070"	"405419"
"120345"	"472255"
"120382"	"240899"
"120435"	"227700"
"120455"	"327940"
"120544"	"335725"
"120544"	"335727"
"120554"	"443081"
"120657"	"188975"
"120697"	"465561"
"120763"	"335498"
"120787"	"363570"
"120819"	"336873"
"115800"	"414840"
"118855"	"267650"
"118837"	"278604"
"118074"	"314884"
"118079"	"295253"
"118083"	"288960"
"118104"	"274877"
"118111"	"183560"
"118111"	"183561"
"118114"	"252190"
"118126"	"315209"
"118128"	"427724"
"118129"	"454730"
"118132"	"250167"
"118150"	"423903"
"118169"	"140227"
"118169"	"140228"
"118176"	"335561"
"118177"	"381204"
"118180"	"181436"
"118189"	"455762"
"118194"	"446833"
"118196"	"493659"
"118207"	"119026"
"118229"	"453657"
"118229"	"453710"
"118232"	"313030"
"118260"	"321607"
"118260"	"321608"
"118069"	"342977"
"118069"	"342978"
"118068"	"290921"
"118057"	"315175"
"117913"	"313100"
"117922"	"416149"
"117930"	"367878"
"117930"	"497204"
"117945"	"412709"
"117956"	"271800"
"117956"	"458003"
"117956"	"458025"
"117976"	"224021"
"117978"	"238608"
"117985"	"296885"
"117985"	"296886"
"117987"	"333736"
"118004"	"261099"
"118004"	"407838"
"118007"	"222101"
"118014"	"259228"
"118015"	"411456"
"118021"	"354623"
"118039"	"217151"
"118041"	"285331"
"118042"	"218419"
"118044"	"463538"
"117997"	"266821"
"118847"	"271020"
"118590"	"415618"
"118592"	"326770"
"118592"	"326771"
"118600"	"377205"
"118604"	"329519"
"118604"	"484702"
"118620"	"385982"
"118621"	"199522"
"118621"	"411342"
"118634"	"360983"
"118638"	"363201"
"118639"	"102132"
"118653"	"432997"
"118654"	"419785"
"118670"	"454370"
"118690"	"311987"
"118745"	"244990"
"118777"	"382534"
"118781"	"464093"
"118829"	"431387"
"118586"	"98366"
"118586"	"346637"
"118582"	"379094"
"118570"	"137402"
"118298"	"460244"
"118375"	"335719"
"118378"	"492057"
"118391"	"333183"
"118392"	"173080"
"118392"	"394798"
"118392"	"394840"
"118414"	"337963"
"118416"	"213989"
"118438"	"336079"
"118293"	"464310"
"118293"	"464349"
"118293"	"464350"
"118293"	"464352"
"118293"	"464353"
"118293"	"464354"
"118293"	"464355"
"118293"	"464356"
"118293"	"464357"
"118293"	"464393"
"118293"	"464395"
"118293"	"464396"
"118293"	"464397"
"118293"	"464398"
"118293"	"464400"
"118293"	"464401"
"118293"	"464402"
"118293"	"464447"
"118293"	"464450"
"118293"	"464489"
"118293"	"464490"
"118293"	"464535"
"118293"	"520253"
"118293"	"520254"
"118293"	"520255"
"118293"	"520256"
"118293"	"520258"
"118293"	"520259"
"118293"	"520265"
"118293"	"520266"
"118439"	"370306"
"118444"	"271803"
"118446"	"212207"
"118448"	"165728"
"118448"	"165801"
"118448"	"165802"
"118448"	"165808"
"118448"	"165881"
"118448"	"165882"
"118448"	"165885"
"118448"	"165886"
"118449"	"17923"
"118479"	"400166"
"118528"	"279188"
"118537"	"231991"
"118538"	"260916"
"118559"	"406061"
"118567"	"414725"
"118568"	"223985"
"118440"	"419358"
"121369"	"266043"
"115792"	"396519"
"115792"	"505937"
"115782"	"287421"
"115782"	"423891"
"112169"	"370130"
"112171"	"449494"
"112175"	"423547"
"112176"	"289380"
"112191"	"349650"
"112193"	"201806"
"112218"	"322634"
"112223"	"354492"
"112245"	"481647"
"112255"	"227395"
"112259"	"399213"
"112310"	"75839"
"112310"	"75842"
"112310"	"75843"
"112310"	"332784"
"112336"	"138378"
"112340"	"298113"
"112340"	"432042"
"112353"	"117414"
"112353"	"358888"
"112367"	"136132"
"112367"	"371558"
"112372"	"431534"
"112383"	"233920"
"112383"	"233921"
"112384"	"36468"
"112384"	"314628"
"112384"	"314630"
"112404"	"448876"
"112434"	"234226"
"112434"	"433700"
"112437"	"228164"
"112437"	"228198"
"112437"	"383406"
"112447"	"182165"
"112454"	"365789"
"112454"	"365791"
"112467"	"444925"
"112482"	"242585"
"112488"	"308755"
"112506"	"424997"
"112506"	"425071"
"112506"	"425074"
"112506"	"425075"
"112506"	"425076"
"112506"	"425078"
"112506"	"425080"
"112156"	"209273"
"112549"	"363844"
"112108"	"103188"
"111841"	"356872"
"111841"	"356873"
"111842"	"247163"
"111843"	"364910"
"111845"	"120271"
"111845"	"360984"
"111846"	"130938"
"111847"	"350003"
"111848"	"326254"
"111849"	"349891"
"111851"	"356871"
"111851"	"356873"
"111857"	"430401"
"111859"	"425168"
"111892"	"47836"
"111892"	"47837"
"111892"	"320756"
"111901"	"227144"
"111909"	"342274"
"111937"	"207196"
"111938"	"218016"
"111948"	"398252"
"111970"	"51383"
"112002"	"267944"
"112004"	"270603"
"112007"	"188941"
"112075"	"417470"
"112080"	"492329"
"112080"	"492330"
"112080"	"492331"
"112083"	"300155"
"112091"	"484246"
"112109"	"216193"
"112562"	"221977"
"112583"	"106876"
"112583"	"291856"
"112585"	"155852"
"112938"	"241829"
"112942"	"217615"
"112947"	"192518"
"112975"	"387540"
"112985"	"376272"
"113001"	"434129"
"113063"	"461530"
"113075"	"212993"
"113075"	"212995"
"113082"	"292713"
"113096"	"141909"
"113131"	"231334"
"113147"	"424382"
"113201"	"271317"
"113269"	"308820"
"113300"	"304489"
"113312"	"387730"
"113314"	"294974"
"113322"	"407226"
"113325"	"414199"
"113326"	"253600"
"112929"	"283422"
"112925"	"316905"
"112923"	"288998"
"112915"	"480253"
"112586"	"398113"
"112586"	"487885"
"112603"	"329520"
"112603"	"484703"
"112670"	"240739"
"112670"	"240742"
"112674"	"321791"
"112695"	"326057"
"112695"	"326122"
"112696"	"164331"
"112696"	"164332"
"112696"	"164339"
"112696"	"164409"
"112696"	"389581"
"112703"	"356836"
"112703"	"492975"
"112707"	"267103"
"112707"	"267104"
"112721"	"462591"
"112757"	"388907"
"112765"	"376590"
"112765"	"500258"
"111839"	"127354"
"112776"	"392809"
"112813"	"243123"
"112814"	"401862"
"112814"	"401863"
"112814"	"401864"
"112814"	"401865"
"112820"	"374015"
"112821"	"335973"
"112836"	"232623"
"112836"	"232734"
"112838"	"378651"
"112851"	"381882"
"112864"	"230575"
"112870"	"367611"
"112879"	"471567"
"112884"	"229167"
"112902"	"216153"
"112804"	"452569"
"111836"	"148774"
"111822"	"171934"
"111822"	"171935"
"110647"	"432561"
"110723"	"190751"
"110767"	"203259"
"110768"	"210785"
"110775"	"191453"
"110777"	"278660"
"110777"	"461017"
"110779"	"387648"
"110786"	"409098"
"110797"	"316557"
"110804"	"168671"
"110809"	"251752"
"110816"	"413741"
"110820"	"130237"
"110820"	"130239"
"110847"	"170455"
"110854"	"151457"
"110867"	"280574"
"110923"	"97170"
"110923"	"346263"
"110934"	"244861"
"110942"	"322150"
"110954"	"201615"
"110967"	"23155"
"110967"	"308224"
"110616"	"232854"
"110104"	"259200"
"110139"	"187759"
"110152"	"303159"
"110165"	"207304"
"110165"	"207307"
"110165"	"207308"
"110165"	"207373"
"110165"	"207376"
"110165"	"207377"
"110165"	"207378"
"110165"	"207379"
"110165"	"207381"
"110165"	"207382"
"110165"	"207384"
"110165"	"207385"
"110165"	"207386"
"110165"	"207387"
"110165"	"207444"
"110165"	"207445"
"110165"	"207447"
"110165"	"207449"
"110165"	"207501"
"110165"	"207505"
"110165"	"207563"
"110165"	"207569"
"110165"	"415564"
"110165"	"415596"
"110165"	"415598"
"110165"	"415599"
"110165"	"415600"
"110170"	"147197"
"110170"	"379355"
"110251"	"67898"
"110273"	"361103"
"110280"	"385171"
"110289"	"217978"
"110289"	"421882"
"110971"	"284886"
"110315"	"212827"
"110315"	"367616"
"110327"	"428455"
"110356"	"284526"
"110356"	"284527"
"110357"	"89144"
"110357"	"89145"
"110357"	"89146"
"110357"	"341079"
"110358"	"272159"
"110358"	"272222"
"110358"	"272223"
"110358"	"272224"
"110358"	"272225"
"110358"	"272226"
"110358"	"272227"
"110358"	"272229"
"110358"	"272309"
"110358"	"272315"
"110358"	"272316"
"110358"	"272318"
"110358"	"272319"
"110358"	"272320"
"110358"	"272321"
"110358"	"272396"
"110358"	"272397"
"110359"	"73707"
"110359"	"73708"
"110359"	"73713"
"110359"	"73715"
"110359"	"73716"
"110359"	"73717"
"110359"	"73720"
"110359"	"73721"
"110359"	"73722"
"110359"	"73998"
"110359"	"74001"
"110359"	"74002"
"110359"	"74003"
"110359"	"74004"
"110359"	"74006"
"110359"	"74008"
"110359"	"74280"
"110359"	"74281"
"110359"	"74282"
"110359"	"74517"
"110359"	"74519"
"110359"	"74729"
"110359"	"332106"
"110359"	"332108"
"110359"	"332109"
"110359"	"332159"
"110359"	"332161"
"110359"	"332236"
"110466"	"280262"
"110481"	"146802"
"110504"	"28244"
"110504"	"310632"
"110508"	"394390"
"110510"	"22573"
"110510"	"308114"
"110533"	"316738"
"110555"	"320540"
"110590"	"60370"
"110326"	"423039"
"110985"	"252666"
"110990"	"387054"
"111334"	"120076"
"111343"	"296565"
"111350"	"290797"
"111418"	"208520"
"111429"	"394393"
"111451"	"371308"
"111451"	"371309"
"111451"	"371311"
"111451"	"371397"
"111451"	"371398"
"111451"	"371399"
"111451"	"371400"
"111464"	"365642"
"111464"	"365717"
"111464"	"365718"
"111464"	"365719"
"111464"	"365786"
"111464"	"365787"
"111466"	"208543"
"111466"	"208544"
"111484"	"343777"
"111484"	"489585"
"111496"	"227130"
"111496"	"381775"
"111497"	"368098"
"111540"	"400753"
"111603"	"328710"
"111603"	"328763"
"111621"	"279298"
"111625"	"223274"
"111631"	"200635"
"111646"	"64695"
"111660"	"259663"
"111660"	"450513"
"111667"	"478068"
"111720"	"185293"
"111733"	"227556"
"111752"	"293428"
"111752"	"293429"
"111752"	"293430"
"111752"	"293431"
"111752"	"293432"
"111752"	"293433"
"111752"	"293434"
"111752"	"293536"
"111759"	"241984"
"111784"	"248189"
"111784"	"248318"
"111784"	"400020"
"111784"	"400023"
"111784"	"400090"
"111311"	"396576"
"111311"	"505941"
"111309"	"223792"
"111299"	"280974"
"110991"	"74617"
"110994"	"367805"
"111001"	"391584"
"111008"	"453732"
"111015"	"130710"
"111052"	"310082"
"111054"	"337912"
"111055"	"344061"
"111073"	"286901"
"111097"	"447321"
"111097"	"447322"
"111111"	"392756"
"111123"	"244177"
"110989"	"8705"
"110989"	"301283"
"110989"	"301284"
"110989"	"301369"
"111170"	"378601"
"111170"	"378603"
"111178"	"381078"
"111180"	"330977"
"111200"	"450423"
"111207"	"259312"
"111207"	"406513"
"111214"	"473707"
"111216"	"324898"
"111233"	"306250"
"111242"	"323250"
"111242"	"323251"
"111242"	"323252"
"111242"	"323328"
"111243"	"261215"
"111293"	"365582"
"111293"	"496184"
"111156"	"314988"
"113362"	"424029"
"115086"	"465544"
"115096"	"260306"
"115106"	"229079"
"115109"	"327767"
"115115"	"228000"
"115136"	"367692"
"115138"	"469239"
"115149"	"330864"
"115149"	"330865"
"115158"	"153513"
"115160"	"199492"
"115165"	"280206"
"115177"	"297487"
"115192"	"287622"
"115192"	"466008"
"115232"	"365720"
"115238"	"313042"
"115241"	"319499"
"115245"	"326124"
"115247"	"327845"
"115252"	"279311"
"115269"	"177508"
"115269"	"177509"
"115269"	"177638"
"115276"	"106650"
"115276"	"292626"
"115280"	"274263"
"115280"	"458882"
"115280"	"458950"
"115287"	"390077"
"115289"	"296858"
"115070"	"423010"
"115066"	"435052"
"115062"	"292865"
"114783"	"220425"
"114813"	"259003"
"114831"	"393151"
"114842"	"258396"
"114842"	"405444"
"114846"	"230062"
"114866"	"358264"
"114878"	"161696"
"114878"	"161698"
"114881"	"392891"
"114884"	"245598"
"114904"	"432529"
"114925"	"144931"
"114930"	"295229"
"114931"	"227066"
"114931"	"429035"
"114931"	"429036"
"114931"	"429037"
"114931"	"429152"
"114931"	"429153"
"114935"	"199642"
"114938"	"297353"
"114964"	"244187"
"114971"	"412160"
"114976"	"321690"
"114977"	"308506"
"114985"	"332632"
"114985"	"332633"
"114991"	"317802"
"114992"	"250888"
"115016"	"333880"
"115027"	"310080"
"115036"	"464949"
"114937"	"343666"
"114779"	"230192"
"115307"	"386152"
"115314"	"256100"
"115314"	"256101"
"115314"	"256103"
"115314"	"256104"
"115566"	"337308"
"115570"	"330392"
"115586"	"475051"
"115586"	"523015"
"115593"	"405535"
"115613"	"392977"
"115613"	"392979"
"115617"	"224988"
"115641"	"321442"
"115645"	"243524"
"115665"	"439151"
"115672"	"232701"
"115675"	"497215"
"115694"	"262801"
"115715"	"327422"
"115716"	"444995"
"115730"	"320635"
"115745"	"317822"
"115749"	"387682"
"115754"	"208675"
"115763"	"435776"
"115765"	"442555"
"115767"	"90413"
"115775"	"343291"
"115776"	"279591"
"115563"	"380299"
"115555"	"218202"
"115552"	"383597"
"115316"	"92301"
"115316"	"281148"
"115338"	"310305"
"115345"	"408838"
"115347"	"410954"
"115361"	"240979"
"115369"	"323493"
"115391"	"119499"
"115391"	"119503"
"115401"	"371749"
"115402"	"359136"
"115407"	"415798"
"115430"	"310086"
"115438"	"116138"
"115438"	"358190"
"115439"	"200615"
"115308"	"278675"
"115452"	"244164"
"115469"	"239639"
"115469"	"239641"
"115479"	"410355"
"115511"	"468469"
"115513"	"322548"
"115514"	"393227"
"115519"	"367309"
"115520"	"208599"
"115527"	"417208"
"115527"	"512066"
"115529"	"410356"
"115536"	"335412"
"115542"	"171265"
"115467"	"310609"
"115787"	"211941"
"114702"	"198901"
"113775"	"207222"
"113787"	"325152"
"113787"	"452202"
"113804"	"288250"
"113816"	"289529"
"113816"	"289530"
"113823"	"291467"
"113856"	"298444"
"113856"	"472276"
"113857"	"335470"
"113857"	"335471"
"113862"	"306419"
"113878"	"52147"
"113907"	"379186"
"113909"	"225014"
"113909"	"225015"
"113936"	"124485"
"113941"	"356816"
"113942"	"335507"
"113947"	"108494"
"113951"	"433345"
"113989"	"257462"
"113989"	"257463"
"113989"	"449330"
"113989"	"449331"
"113997"	"216073"
"114012"	"345673"
"114018"	"389230"
"114028"	"314545"
"114035"	"271126"
"113770"	"459896"
"113755"	"272246"
"113745"	"137612"
"113379"	"403568"
"113397"	"491571"
"113406"	"415614"
"113439"	"386222"
"113446"	"339713"
"113447"	"489434"
"113477"	"60255"
"113547"	"331008"
"113550"	"249665"
"113571"	"393889"
"114061"	"181147"
"113584"	"433716"
"113606"	"272747"
"113610"	"195919"
"113611"	"219945"
"113611"	"422418"
"113629"	"402073"
"113689"	"381203"
"113690"	"392377"
"113697"	"92658"
"113705"	"437786"
"113712"	"248406"
"113712"	"248407"
"113712"	"248408"
"113713"	"241388"
"114720"	"269697"
"114720"	"457159"
"114720"	"457160"
"114720"	"457161"
"114079"	"279066"
"114121"	"461549"
"114481"	"136843"
"114481"	"136845"
"114481"	"371627"
"114481"	"371628"
"114502"	"334428"
"114524"	"252202"
"114524"	"252203"
"114541"	"390686"
"114546"	"330407"
"114562"	"270505"
"114570"	"300709"
"114574"	"110761"
"114589"	"393482"
"114594"	"392176"
"114600"	"268933"
"114600"	"268934"
"114607"	"336893"
"114611"	"309957"
"114613"	"234904"
"114619"	"247063"
"114630"	"278960"
"114659"	"430024"
"114660"	"275084"
"114667"	"334385"
"114480"	"305192"
"114466"	"378601"
"114466"	"378603"
"114457"	"216348"
"114133"	"380146"
"114138"	"442709"
"114172"	"397266"
"114172"	"397267"
"114203"	"259378"
"114207"	"415094"
"114226"	"123034"
"114260"	"284670"
"114263"	"332534"
"114263"	"332535"
"114272"	"281007"
"114294"	"481345"
"114314"	"329195"
"114318"	"332910"
"114331"	"200504"
"114331"	"200509"
"114334"	"363951"
"114339"	"463077"
"114342"	"179013"
"114342"	"179014"
"114348"	"156784"
"114364"	"317696"
"114371"	"396305"
"114386"	"200553"
"114393"	"376359"
"114393"	"376360"
"114396"	"416906"
"114430"	"358192"
"114439"	"334516"
"114440"	"369521"
"114322"	"168565"
"114322"	"168566"
"110037"	"261922"
"121385"	"222335"
"121483"	"201991"
"132366"	"190349"
"132401"	"334563"
"132461"	"117999"
"132507"	"226911"
"132541"	"367385"
"132565"	"419633"
"132599"	"298404"
"132634"	"326066"
"132634"	"452596"
"132729"	"394480"
"132816"	"101210"
"132816"	"348727"
"132818"	"321767"
"132868"	"21740"
"132868"	"306977"
"132883"	"243763"
"132883"	"439850"
"132902"	"200002"
"132922"	"338363"
"132925"	"248045"
"132933"	"267379"
"132940"	"232364"
"132942"	"373195"
"132949"	"288049"
"132967"	"381549"
"133016"	"215730"
"133025"	"224797"
"133035"	"215686"
"133039"	"363493"
"133048"	"337068"
"132346"	"155481"
"132341"	"446420"
"132021"	"273917"
"132081"	"308507"
"132099"	"213007"
"132102"	"481732"
"132152"	"269191"
"132165"	"374697"
"132165"	"374699"
"132180"	"481827"
"132188"	"436948"
"132188"	"436949"
"132189"	"295442"
"132190"	"380322"
"132199"	"62997"
"132209"	"199901"
"132219"	"273453"
"132223"	"209165"
"132225"	"390796"
"132250"	"442194"
"132263"	"131883"
"132269"	"224067"
"132279"	"224689"
"132279"	"224690"
"132299"	"327256"
"132299"	"483981"
"132303"	"411126"
"132303"	"411127"
"132323"	"176808"
"132330"	"411308"
"132340"	"313902"
"132340"	"313903"
"132340"	"313904"
"132340"	"313905"
"132340"	"313906"
"132340"	"313907"
"132340"	"313909"
"132340"	"314006"
"132340"	"314007"
"132340"	"314009"
"132340"	"314010"
"132340"	"314011"
"132340"	"314012"
"132340"	"314013"
"132340"	"314014"
"132340"	"314095"
"132340"	"314098"
"132340"	"314099"
"132345"	"319977"
"133056"	"407272"
"133064"	"321899"
"133064"	"481890"
"133070"	"203423"
"133557"	"261959"
"133599"	"377830"
"133610"	"383360"
"133620"	"379352"
"133632"	"434103"
"133638"	"212282"
"133664"	"394367"
"133665"	"226939"
"133712"	"382676"
"133763"	"336064"
"133774"	"140676"
"133774"	"140677"
"133803"	"95264"
"133804"	"170925"
"133817"	"389625"
"133836"	"287313"
"133840"	"264431"
"133840"	"264497"
"133841"	"373581"
"133877"	"320936"
"133886"	"419770"
"133886"	"512851"
"133912"	"443185"
"133936"	"257199"
"133936"	"257200"
"133936"	"257286"
"133983"	"477722"
"133999"	"332230"
"133999"	"332231"
"133999"	"332233"
"133541"	"219822"
"133537"	"196405"
"133537"	"409999"
"133521"	"219821"
"133509"	"409903"
"133129"	"358843"
"133143"	"391440"
"133183"	"302174"
"133196"	"257013"
"133196"	"257086"
"133196"	"257087"
"133196"	"257088"
"133197"	"111997"
"133199"	"227607"
"133217"	"240905"
"133217"	"241009"
"133217"	"241012"
"133217"	"241013"
"133217"	"241102"
"133217"	"241103"
"133217"	"241104"
"133217"	"241105"
"133217"	"241107"
"133217"	"241110"
"133218"	"94136"
"133218"	"343668"
"133218"	"343669"
"133224"	"85094"
"133239"	"294898"
"133248"	"294468"
"133270"	"374420"
"132017"	"392765"
"133272"	"350187"
"133340"	"257378"
"133382"	"451260"
"133385"	"355724"
"133408"	"183593"
"133408"	"402858"
"133414"	"316265"
"133440"	"358191"
"133448"	"287013"
"133451"	"482847"
"133451"	"482873"
"133451"	"482874"
"133488"	"257906"
"133285"	"385612"
"132001"	"505568"
"131990"	"326175"
"131989"	"460380"
"130396"	"392703"
"130404"	"324711"
"130404"	"324752"
"130404"	"482745"
"130405"	"204308"
"130405"	"361389"
