"Peptide Groups Peptide Group ID"	"Consensus Features "
"4"	"267116"
"4"	"455839"
"117265"	"310172"
"117292"	"393876"
"117315"	"250701"
"117340"	"410793"
"117346"	"333352"
"117356"	"162545"
"117365"	"264833"
"117368"	"507122"
"117371"	"229773"
"117374"	"288420"
"117386"	"271856"
"117386"	"271857"
"117389"	"173958"
"117403"	"384712"
"117406"	"446924"
"117412"	"299378"
"117414"	"169887"
"117417"	"407873"
"117418"	"473261"
"117435"	"297360"
"117442"	"331798"
"117448"	"504956"
"117264"	"302104"
"117264"	"302169"
"117452"	"476025"
"117230"	"297127"
"117018"	"276328"
"117018"	"459864"
"117027"	"261120"
"117034"	"352012"
"117034"	"491688"
"117050"	"474139"
"117054"	"289890"
"117056"	"264392"
"117058"	"370025"
"117059"	"468750"
"117078"	"257205"
"117078"	"449117"
"117079"	"261349"
"117081"	"477604"
"117085"	"311386"
"117101"	"248181"
"117101"	"400015"
"117102"	"401307"
"117113"	"193705"
"117130"	"421637"
"117133"	"176898"
"117144"	"244928"
"117144"	"440384"
"117146"	"370770"
"117162"	"472506"
"117172"	"242749"
"117175"	"240014"
"117214"	"184430"
"117221"	"231874"
"117221"	"432461"
"117229"	"401271"
"117245"	"219668"
"117465"	"344996"
"117467"	"402884"
"117720"	"319264"
"117724"	"426618"
"117724"	"426619"
"117727"	"282182"
"117737"	"137814"
"117737"	"371357"
"117738"	"219809"
"117738"	"219811"
"117738"	"219812"
"117738"	"422773"
"117740"	"363896"
"117750"	"461015"
"117760"	"331914"
"117763"	"169521"
"117765"	"288752"
"117767"	"395545"
"117788"	"284104"
"117788"	"464442"
"117789"	"226328"
"117795"	"299399"
"117801"	"400695"
"117804"	"432973"
"117807"	"203274"
"117811"	"445104"
"117828"	"231318"
"117837"	"281047"
"117845"	"295177"
"117852"	"383551"
"117856"	"224285"
"117863"	"433649"
"117865"	"439506"
"117719"	"135216"
"117717"	"404880"
"117717"	"404942"
"117703"	"328363"
"117481"	"97840"
"117484"	"436492"
"117485"	"221093"
"117498"	"414109"
"117500"	"210745"
"117500"	"210746"
"117501"	"257805"
"117505"	"274078"
"117509"	"282689"
"117511"	"386484"
"117516"	"441408"
"117530"	"316629"
"117554"	"304526"
"117568"	"400525"
